fund_slug,fund_name,project_slug,project_name,amount,stage,date,category,pre_valuation
gate-io,Gate.io,flashwire,,1,Seed Round,2021-05-11T03:54:00Z,Finance,10
ss-ventures,SS Ventures,galactic-arena-the-nftverse,GAN,15000,Seed Sale,2021-07-01T00:00:00Z,Gaming,1500000
lighthouse-ventures,Lighthouse ventures,galactic-arena-the-nftverse,GAN,15000,Seed Sale,2021-07-01T00:00:00Z,Gaming,1500000
signum-capital,Signum Capital,oin-finance,OIN,20000,Seed Round,2020-05-01T00:00:00Z,Polygon Ecosystem,1000000
fbg-capital,FBG Capital,oin-finance,OIN,20000,Seed Round,2020-05-01T00:00:00Z,Polygon Ecosystem,1000000
ruby-capital,Ruby Capital,oin-finance,OIN,20000,Seed Round,2020-05-01T00:00:00Z,Polygon Ecosystem,1000000
blockwater-management-blockwater-capital,BlockWater Management (BlockWater Capital),oin-finance,OIN,20000,Seed Round,2020-05-01T00:00:00Z,Polygon Ecosystem,1000000
meggy-crypto,Meggy Crypto,jungle-road-ico,JGRD,25000,Angel Round,2022-02-01T00:00:00Z,,25000000
primeblock-ventures,Primeblock Ventures,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
bixin-ventures,Bixin Ventures,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
499block,499Block,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
searchlight-capital,Searchlight Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
okx-ventures,OKX Ventures,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
particle,Particle,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
collinstar,CollinStar,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
newave-capital,Newave Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
capstone,Capstone,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
oasis-capital,Oasis Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
paka,PAKA,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
ld-capital,LD Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
signum-capital,Signum Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
spark-digital-capital,Spark Digital Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
7-o-clock-capital,7 O'Clock Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
lancer-capital,Lancer Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
prometheus-labs,Prometheus Labs,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
ti-capital,Ti Capital,nftmart-token,NMT,29000,IDO on Gate.io,2021-05-01T00:00:00Z,Gate.io Launchpad,25000000
roseon-world-finance,Roseon World (Finance),lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
oig-oracles-investment-group,OIG Oracles Investment Group,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
solar-eco-fund,Solar Eco Fund,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
