name,slug,category,market_cap,price,total_raised,rounds_count
,flashwire,Finance,,,1,2
XPRESS,cryptoexpress,Finance,,,892,8
ZEE,zeroswap,Elrond Ecosystem,,,1000,3
TOFY,tofycoin-ico,,,,2000,9
METADOGE,meta-doge,Meme,,,3200,8
eFIC,fic-network-ico,,,,3500,1
SWAPZ,swapz-app,BSCPad IDO,,,4200,4
STX,stacks,Blockchain,,,4356,9
DXT,datawallet,,,,4823,1
MBP,mobipad,Launchpad,,,5589,3
HMND,humanode,Blockchain Service,,,7000,7
ADA,cardano,Blockchain,,,10000,6
QUACK,richquack,Meme,,,10000,1
PORT3,port3-network,DePIN,,,10000,6
CREO,creo-engine,Gaming,,,10000,15
VLXPAD,velaspad,Launchpad,,,10000,5
GAIA,gaia-everworld,Gaming,,,10000,9
MSTAR,merlin-starter,Launchpad,,,10000,1
GAMI,gami,Gaming,,,10000,5
VPR,vaporwallet,Wallet,,,10000,2
BLACK,blackhole-protocol,Gate.io Launchpad,,,10000,7
ETHPAD,ethpad,BSCPad IDO,,,10000,5
SKYRIM,skyrim-finance,Gate.io Launchpad,,,10000,4
ASTRO,astroswap,DEX,,,10000,3
GHSP,ghospers-game,Gaming,,,10000,3
BITORB,bitorbit,BSCPad IDO,,,10000,3
MSCP,moonscape,Gaming,,,10000,3
ASV,astro-verse,Gaming,,,10000,3
RANKER,rankerdao,DAO,,,10000,6
TARO,taroverse,Gaming,,,10000,17
FOTA,fight-of-the-ages,Gaming,,,10000,14
GLF,galaxy-finance2,Wallet,,,10000,8
SAO,sator,,,,10120,6
REF,ref-finance,Near Ecosystem,,,11413,4
TUNE,antimatter,DeFi,,,12500,5
ARIA,legends-of-aria,Gaming,,,13500,11
SMG,samurai-legends,Gaming,,,13580,8
DCB,decubate,Infrastructure,,,13800,8
DLD,daoland,Gaming,,,14000,6
GAN,galactic-arena-the-nftverse,Gaming,,,15000,6
DOE,dogsofelon,Meme,,,15000,2
RDF,readfi,Metaverse,,,15000,2
KICKS,getkicks,Move To Earn,,,15000,8
ENRX,enrex,,,,16500,6
DRACE,deathroad,Red Kite IDO,,,17000,3
NFTPT,nft-paintings-ico,,,,17425,3
ZBCN,zebec-network,Infrastructure,,,18000,6
SFEX,safelaunch,Launchpad,,,18000,2
WAXP,wax,Blockchain,,,20000,5
AGI,delysium,Gaming,,,20000,3
FIO,fio-protocol,Protocol,,,20000,4
BOSON,boson-protocol,NFT,,,20000,3
REAL,defactor,DeFi,,,20000,4
SAITO,saito,Polkastarter IDO,,,20000,4
NAVI,atlas-navi,Artificial Intelligence (AI),,,20000,6
PLENA,plena-finance,Wallet,,,20000,2
UTU,utu-coin,Oracle,,,20000,8
PRIMAL,primal,Move To Earn,,,20000,3
HCT,hurricaneswap-token,Yield Farming,,,20000,9
LGX,legion-network,Gaming,,,20000,15
OIN,oin-finance,Polygon Ecosystem,,,20000,3
GFX,gamyfi-token,Gaming,,,20000,5
TOTM,totemfi,Gate.io Launchpad,,,20000,3
BULK,bulk-network,DeFi,,,20000,4
WIS,wingswap,DeFi,,,20000,5
LC,light-year,Gaming,,,20000,11
GWT,galaxy-war,Gaming,,,20000,6
EIV,earniverse,Play to Earn,,,20000,11
ADR,adroverse,Gaming,,,20000,6
SLG,land-of-conquest-slg,Gaming,,,20000,4
CMP,caduceus,Blockchain,,,20000,7
