project_slug,project_name,market_cap_usd,price_usd,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_invested
binancecoin,BNB,123343549010.54,896.03,10000000.0,8.107436570635305e-05,1,google-cloud,Google Cloud,10000000.0
ethena-usde,USDE,6524698461.99,0.9993,20000000.0,0.0030652757543526542,1,mexc-global-privcode-capital,MEXC Global (Privcode Capital),20000000.0
sui,SUI,5967775577.96,1.5985,20000000.0,0.0033513324585903274,1,mill-city-ventures,Mill City Ventures,20000000.0
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,dragonfly-capital,Dragonfly Capital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,republic-capital,Republic Capital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,hypersphere-ventures,Hypersphere Ventures,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,parafi-capital,ParaFi Capital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,galaxy-digital,Galaxy,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,fintech-collective,FinTech Collective,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,chorus-one,Chorus One,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,cadenza-capital-management,Cadenza Ventures,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,big-brain-holdings,Big Brain Holdings,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,cmcc-global,CMCC Global,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,skybridge-capital,SkyBridge Capital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,lvna-capital,Lvna Capital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,superscrypt,Superscrypt,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,morgan-creek-digital,Morgan Creek Digital,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,hivemind-ventures,Hivemind Ventures,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,tane,Tané,14705882.352941176
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,0.04380335281592348,17,scb-limited,SCB Limited,14705882.352941176
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,mechanism-capital,Mechanism Capital,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,morningstar-ventures,Morningstar Ventures,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,animoca-brands,Animoca Brands,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,woodstock-fund,Woodstock Fund,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,shima-capital,Shima Capital,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,polygon,P2 Ventures,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,big-brain-holdings,Big Brain Holdings,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,dwf-labs,DWF Labs,1333333.3333333333
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,0.0024447859832479697,9,comma3-ventures,Comma3 Ventures,1333333.3333333333
ton,TON,3965236202.9,1.617,48000000.0,0.012105205728953777,4,foresight-ventures,Foresight Ventures,15000000.0
ton,TON,3965236202.9,1.617,48000000.0,0.012105205728953777,4,bitget,Bitget,15000000.0
ton,TON,3965236202.9,1.617,48000000.0,0.012105205728953777,4,gate-io,Gate.io,10000000.0
ton,TON,3965236202.9,1.617,48000000.0,0.012105205728953777,4,mirana-ventures,Mirana Ventures,8000000.0
world-liberty-financial,WLFI,3914934424.73,0.1441,165000000.0,0.04214629980970358,4,aqua1,Aqua1,100000000.0
world-liberty-financial,WLFI,3914934424.73,0.1441,165000000.0,0.04214629980970358,4,tron,Tron,30000000.0
world-liberty-financial,WLFI,3914934424.73,0.1441,165000000.0,0.04214629980970358,4,dwf-labs,DWF Labs,25000000.0
world-liberty-financial,WLFI,3914934424.73,0.1441,165000000.0,0.04214629980970358,4,web3port,Web3Port,10000000.0
canton-network,CC,2579152743.25,0.07145,185000000.0,0.0717289817302099,12,tradeweb,Tradeweb,16875000.0
canton-network,CC,2579152743.25,0.07145,185000000.0,0.0717289817302099,12,virtu-financial,Virtu Financial,16875000.0
canton-network,CC,2579152743.25,0.07145,185000000.0,0.0717289817302099,12,circle-ventures,Circle Ventures,16875000.0
canton-network,CC,2579152743.25,0.07145,185000000.0,0.0717289817302099,12,drw-venture-capital,DRW Venture Capital,16875000.0
canton-network,CC,2579152743.25,0.07145,185000000.0,0.0717289817302099,12,paxos,Paxos,16875000.0
