project_slug,project_name,market_cap_usd,price_usd,total_invested,funds_count,top_funds
binancecoin,BNB,123343549010.54,896.03,10000000.0,1,"Google Cloud ($10,000,000)"
ethena-usde,USDE,6524698461.99,0.9993,20000000.0,1,"MEXC Global (Privcode Capital) ($20,000,000)"
sui,SUI,5967775577.96,1.5985,20000000.0,1,"Mill City Ventures ($20,000,000)"
avalanche,AVAX,5707325670.95,13.29,250000000.00000003,17,"Dragonfly Capital ($14,705,882); Republic Capital ($14,705,882); Hypersphere Ventures ($14,705,882); ParaFi Capital ($14,705,882); Galaxy ($14,705,882)"
shiba-inu,SHIB,4908405104.67,8.33e-06,12000000.0,9,"Mechanism Capital ($1,333,333); Morningstar Ventures ($1,333,333); Animoca Brands ($1,333,333); Woodstock Fund ($1,333,333); Shima Capital ($1,333,333)"
ton,TON,3965236202.9,1.617,48000000.0,4,"Foresight Ventures ($15,000,000); Bitget ($15,000,000); Gate.io ($10,000,000); Mirana Ventures ($8,000,000)"
world-liberty-financial,WLFI,3914934424.73,0.1441,165000000.0,4,"Aqua1 ($100,000,000); Tron ($30,000,000); DWF Labs ($25,000,000); Web3Port ($10,000,000)"
canton-network,CC,2579152743.25,0.07145,185000000.0,12,"Tradeweb ($16,875,000); Virtu Financial ($16,875,000); Circle Ventures ($16,875,000); DRW Venture Capital ($16,875,000); Paxos ($16,875,000)"
intentx,INTX,2504625683.37,50.63,1800000.0,6,"Kronos Research ($300,000); Mirana Ventures ($300,000); Orbs ($300,000); Manifold Trading ($300,000); Selini Capital ($300,000)"
falcon-finance,USDF,2215861640.92,0.9983,10000000.0,1,"World Liberty Financial ($10,000,000)"
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,31,"MEXC Global (Privcode Capital) ($62,000,000); Franklin Templeton ($20,518,519); Dragonfly Capital ($20,518,519); Polychain Capital ($20,000,000); Pantera Capital ($20,000,000)"
worldcoin,WLD,1456314698.66,0.593,135000000.0,5,"Mirana Ventures ($27,000,000); Bain Capital Crypto ($27,000,000); Selini Capital ($27,000,000); a16z crypto CSX ($27,000,000); Arctic Digital ($27,000,000)"
ignition-fbtc,FBTC,1049213647.92,90187,10000000.0,3,"Galaxy ($3,333,333); Antalpha ($3,333,333); Mantle ($3,333,333)"
flare-network,FLR,1001879433.01,0.01244,35000000.0,2,"Kenetic Capital ($17,500,000); Aves Lair ($17,500,000)"
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,5,"Fenbushi Capital ($2,200,000); 1kx ($2,200,000); Everest Ventures ($2,200,000); Founders Fund ($2,200,000); Selini Capital ($2,200,000)"
story,IP,644405959.4,1.912,162000000.0,4,"Heritage Distilling ($82,000,000); Andreessen Horowitz (a16z) ($26,666,667); Polychain Capital ($26,666,667); Adrian Cheng ($26,666,667)"
morpho,MORPHO,616690234.37,1.142,49999999.999999985,18,"Andreessen Horowitz (a16z) ($2,777,778); Variant ($2,777,778); Coinbase Ventures ($2,777,778); Pantera Capital ($2,777,778); Strobe (Prev. BlockTower Capital) ($2,777,778)"
optimism,OP,613166773.55,0.3155,90000000.0,1,"Andreessen Horowitz (a16z) ($90,000,000)"
myx-finance,MYX,591383713.04,3.103,5000000.0,5,"HashKey Capital ($1,000,000); D11 Labs ($1,000,000); Metalpha ($1,000,000); FL Foundation ($1,000,000); Woyong ($1,000,000)"
celestia,TIA,493960405.46,0.58,100000000.0,5,"1kx ($20,000,000); Robot Ventures ($20,000,000); Placeholder ($20,000,000); Bain Capital Crypto ($20,000,000); Syncracy Capital ($20,000,000)"
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,23,"Arrington Capital ($1,173,913); Stani Kulechov ($1,173,913); 4RC ($1,173,913); Parallel Ventures ($1,173,913); Pulsar ($1,173,913)"
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,9,"Multicoin Capital ($3,111,111); Dragonfly Capital ($3,111,111); Borderless Capital ($3,111,111); Reciprocal Ventures ($3,111,111); Foundation Capital ($3,111,111)"
folks-finance,FOLKS,370769964.12,30.24,3200000.0,4,"Mapleblock Capital ($800,000); Borderless Capital ($800,000); Algorand Foundation ($800,000); SOVO ($800,000)"
the-sandbox,SAND,347044804.73,0.1328,20000000.0,4,"Animoca Brands ($5,000,000); Kingsway Capital ($5,000,000); LG Technology Ventures ($5,000,000); True Global Ventures (TGV) ($5,000,000)"
sonic-labs,S,344830927.24,0.0913,19999999.999999996,12,"Galaxy ($10,000,000); Hashed ($909,091); Signum Capital ($909,091); Stani Kulechov ($909,091); Fernando Martinelli ($909,091)"
layerzero,ZRO,307793493.72,1.517,55000000.0,1,"Andreessen Horowitz (a16z) ($55,000,000)"
xpl,XPL,280080000,0.1562,23999999.999999993,17,"Paolo Ardoino ($2,076,923); Bitfinex ($2,076,923); Zaheer ($2,076,923); 6MV (6th Man Ventures) ($1,576,923); Bybit ($1,576,923)"
stable-2,STABLE,268048000,0.01531,27999999.999999993,17,"Nascent ($1,647,059); Susquehanna International Group (SIG) ($1,647,059); Bybit ($1,647,059); Hack VC ($1,647,059); Blue Pool Capital ($1,647,059)"
falcon-stable,FF,267930000,0.11463,20000000.0,3,"World Liberty Financial ($10,000,000); Cypher Capital Group ($5,000,000); M2 ($5,000,000)"
marcopolo,MAP,256476417.8,0.0434,1000000.0,1,"Gryps ($1,000,000)"
fantom,FTM,255242915.43,0.09104,9999999.999999998,11,"UOB Venture Management ($909,091); Tarun Chitra ($909,091); Aave Ventures ($909,091); Hashed ($909,091); Signum Capital ($909,091)"
monad,MON,253327345.63,0.02339,225000000.0,3,"Paradigm ($75,000,000); Electric Capital ($75,000,000); Greenoaks Capital ($75,000,000)"
walrus-protocol,WAL,235053875,0.1524,140000000.0,10,"Andreessen Horowitz (a16z) ($14,000,000); Electric Capital ($14,000,000); Standard Crypto ($14,000,000); Franklin Templeton ($14,000,000); Lvna Capital ($14,000,000)"
eigenlayer,EIGEN,217800525.37,0.446,170000000.0,1,"Andreessen Horowitz (a16z) ($170,000,000)"
agora-2,AUSD,216370270.26,0.9996,62000000.0,4,"Dragonfly Capital ($29,000,000); Paradigm ($25,000,000); Robot Ventures ($4,000,000); General Catalyst ($4,000,000)"
soon,SOON,207600000,0.4144,26999999.999999996,15,"Hypersphere Ventures ($2,444,444); SNZ Holding ($2,444,444); ArkStream Capital ($2,444,444); PAKA ($2,444,444); MH Ventures ($2,444,444)"
0g,0G,192668840,0.905,75000000.00000001,16,"Animoca Brands ($8,076,923); Delphi Digital (Delphi Labs) ($8,076,923); OKX Ventures ($8,076,923); Hack VC ($8,076,923); Alliance ($5,000,000)"
lombard,BARD,175702500,0.7786,17000000.0,11,"Polychain Capital ($1,600,000); Foresight Ventures ($1,600,000); Mirana Ventures ($1,600,000); Franklin Templeton ($1,600,000); OKX Ventures ($1,600,000)"
jito-network,JTO,162399956.9,0.3944,50000000.0,1,"Andreessen Horowitz (a16z) ($50,000,000)"
beam,BEAM,156856699.22,0.003169,250000.0,1,"DWF Labs ($250,000)"
sosovalue,SOSO,155023302.18,0.5642,19150000.0,8,"HongShan (ex-Sequoia China) ($4,580,000); Mirana Ventures ($3,750,000); SafePal ($3,750,000); SmallSpark ($3,750,000); GSR Ventures ($830,000)"
meta-2-2,META,154112905.55,6.96,12100000.0,3,"Paradigm ($8,100,000); Variant ($2,500,000); 6MV (6th Man Ventures) ($1,500,000)"
kite-2,KITE,148986000,0.0826,18000000.0,5,"General Catalyst ($3,600,000); Samsung NEXT ($3,600,000); PayPal Ventures ($3,600,000); Alumni Ventures ($3,600,000); 8VC ($3,600,000)"
axelar,AXL,147823922.52,0.1353,29999999.999999993,7,"Arrington Capital ($4,285,714); Electric Capital ($4,285,714); Distributed Global ($4,285,714); C2Ventures (Csquared) ($4,285,714); WAGMI Ventures ($4,285,714)"
tokenize-xchange,TKX,146392675.9,1.83,11500000.0,1,"Trive ($11,500,000)"
grass,GRASS,142687027.17,0.3283,13500000.0,5,"Polychain Capital ($5,700,000); Tribe Capital ($5,700,000); BitScale Capital ($700,000); Big Brain Holdings ($700,000); Mozaik Capital ($700,000)"
shuffle-2,SHFL,125823114.22,0.3524,2500000.0,10,"Cypher Capital ($250,000); ODA Capital ($250,000); PARC Capital ($250,000); Karatage ($250,000); UpsideDAO ($250,000)"
nexpace,NXPC,112439100.86,0.496,100000000.0,1,"Nexon ($100,000,000)"
movement,MOVE,107212000,0.0383,138000000.0,31,"CoinFund ($50,000,000); Nova Fund ($50,000,000); Polychain Capital ($1,310,345); Maven 11 Capital ($1,310,345); OKX Ventures ($1,310,345)"
oobit,OBT,107200000,0.1072,25000000.0,4,"Tether ($6,250,000); CMCC Global ($6,250,000); Anatoly Yakovenko ($6,250,000); 468 Capital ($6,250,000)"
humanity,H,107054500,0.05863,30000000.0,4,"Kingsway Capital ($7,500,000); Animoca Brands ($7,500,000); Shima Capital ($7,500,000); Blockchain.com Ventures ($7,500,000)"
chainopera-ai,COAI,103544573.71,0.5292,16999999.999999996,18,"IDG Capital ($944,444); Amber Group ($944,444); Acequia Capital ($944,444); Sparkle Ventures ($944,444); Road Capital ($944,444)"
vana,VANA,87600000,2.924,5000000.0,1,"Coinbase Ventures ($5,000,000)"
bio-protocol,BIO,86823736.62,0.049,6900000.0,8,"Mechanism Capital ($862,500); Animoca Brands ($862,500); Zee Prime Capital ($862,500); Foresight Ventures ($862,500); Mirana Ventures ($862,500)"
open-campus,EDU,86631526.22,0.1367,5000000.0,8,"YZi Labs (prev Binance Labs) ($625,000); Animoca Brands ($625,000); Shima Capital ($625,000); Kingsway Capital ($625,000); HongShan (ex-Sequoia China) ($625,000)"
mocaverse,MOCA,86563963.63,0.02194,10000000.0,6,"OKX Ventures ($1,666,667); Kingsway Capital ($1,666,667); Republic ($1,666,667); HongShan (ex-Sequoia China) ($1,666,667); CMCC Global ($1,666,667)"
numeraire,NMR,85750703.46,11.19,30000000.0,3,"Union Square Ventures ($10,000,000); Shine Capital ($10,000,000); Paul Tudor Jones ($10,000,000)"
drift-protocol,DRIFT,82756825.02,0.1983,48500000.0,9,"Folius Ventures ($10,166,667); Multicoin Capital ($6,250,000); Blockchain Capital ($6,250,000); Primitive Ventures ($6,250,000); Polychain Capital ($3,916,667)"
mantra-dao,OM,82686961.04,0.0723,31000000.0,12,"Inveniam ($20,000,000); Mapleblock Capital ($1,000,000); Hex Trust ($1,000,000); Token Bay Capital ($1,000,000); GameFi Ventures ($1,000,000)"
succinct,PROVE,80905500,0.4147,55000000.0,11,"Paradigm ($5,000,000); Robot Ventures ($5,000,000); Sandeep Nailwal ($5,000,000); Elad Gil ($5,000,000); zkValidator (ZKV) ($5,000,000)"
berachain,BERA,77880008.72,0.724,169000000.0,16,"Framework Ventures ($40,750,000); Brevan Howard ($40,750,000); Bo Feng ($6,250,000); Polychain Capital ($6,250,000); Arrington Capital ($6,250,000)"
iotex,IOTX,77570287.53,0.00821,50000000.0,8,"Borderless Capital ($6,250,000); Waterdrip Capital ($6,250,000); SNZ Holding ($6,250,000); Amber Group ($6,250,000); Foresight Ventures ($6,250,000)"
redstone,RED,76589511.25,0.2566,15000000.0,20,"Arrington Capital ($750,000); Selini Capital ($750,000); Samara Asset Group ($750,000); Smokey The Bera ($750,000); Flowdesk ($750,000)"
centrifuge,CFG,75897023.53,0.1324,15000000.000000004,18,"Arrington Capital ($833,333); TRGC ($833,333); IOSG Ventures ($833,333); The Spartan Group ($833,333); ParaFi Capital ($833,333)"
avantis,AVNT,74957173.68,0.2903,8000000.0,5,"Pantera Capital ($1,600,000); Founders Fund ($1,600,000); Symbolic Capital ($1,600,000); Flowdesk ($1,600,000); SALT ($1,600,000)"
home,HOME,71601591.67,0.02253,3999999.9999999995,6,"Mechanism Capital ($1,166,667); Selini Capital ($666,667); Northrock Capital ($666,667); Balaji Srinivasan ($500,000); Pentoshi ($500,000)"
bouncebit,BB,67497138.74,0.0727,6000000.0,25,"NGC Ventures ($240,000); OKX Ventures ($240,000); DeFiance Capital ($240,000); IDG Capital ($240,000); Bixin Ventures ($240,000)"
sahara-ai,SAHARA,64362000,0.03161,43000000.0,19,"Polychain Capital ($2,638,009); Sequoia Capital ($2,638,009); Samsung NEXT ($2,638,009); Matrix Partners ($2,638,009); Alumni Ventures ($2,638,009)"
pieverse,PIEVERSE,64207500,0.3657,7000000.0,8,"Morningstar Ventures ($875,000); Animoca Brands ($875,000); Signum Capital ($875,000); UOB Venture Management ($875,000); Serafund ($875,000)"
irys,IRYS,64160000,0.0326,13700000.000000004,11,"Hypersphere Ventures ($2,168,571); CoinFund ($1,428,571); Breed ($1,428,571); WAGMI Ventures ($1,428,571); echo ($1,428,571)"
altlayer,ALT,64022504.11,0.01293,14400000.0,10,"Hack VC ($1,440,000); Polychain Capital ($1,440,000); TRGC ($1,440,000); IOSG Ventures ($1,440,000); HashKey Capital ($1,440,000)"
lagrange-labs,LA,63844400,0.3311,13200000.0,11,"CMT Digital ($1,200,000); Fenbushi Capital ($1,200,000); 1kx ($1,200,000); Maven 11 Capital ($1,200,000); Founders Fund ($1,200,000)"
yooldo,ESPORTS,62374620,0.41001,1500000.0,9,"Klaytn PTE ($166,667); Planetarium ($166,667); Hyperithm ($166,667); Bedrock Capital ($166,667); Vista Lab ($166,667)"
geodnet,GEOD,62174834.81,0.1417,13499999.999999998,12,"Multicoin Capital ($2,666,667); ParaFi Capital ($2,666,667); Digital Asset Capital Management (DACM) ($2,666,667); Modular Capital ($700,000); tangent ($700,000)"
mask-network,MASK,60710000,0.607,5000000.0,1,"DWF Labs ($5,000,000)"
entangle,NTGL,60558802.65,9.664e-05,3999999.999999998,18,"NxGen ($222,222); MH Ventures ($222,222); OWL Ventures ($222,222); Big Brain Holdings ($222,222); Contango Digital Assets ($222,222)"
plume-network,PLUME,59110084.32,0.01877,29999999.99999999,15,"SV Angel ($2,929,293); a_capital ($2,929,293); Reciprocal Ventures ($2,929,293); Haun Ventures ($2,929,293); Superscrypt ($2,929,293)"
overtake,TAKE,58409613.86,0.33016,7000000.000000001,6,"Immutable ($1,166,667); Sui Foundation ($1,166,667); Green Whale Ventures ($1,166,667); JB Investment ($1,166,667); ItemMania ($1,166,667)"
peaq,PEAQ,54836911.03,0.03648,14999999.999999994,14,"Animoca Brands ($1,071,429); TRGC ($1,071,429); Fundamental Labs ($1,071,429); The Spartan Group ($1,071,429); Moonrock Capital ($1,071,429)"
babylon,BABY,52845082.6,0.01863,75300000.0,14,"Paradigm ($5,384,615); Polychain Capital ($5,384,615); HTX Ventures (previously Huobi Ventures) ($5,384,615); IOSG Ventures ($5,384,615); HashKey Capital ($5,384,615)"
iostoken,IOST,51625740.86,0.001716,21000000.0,3,"DWF Labs ($7,000,000); Presto Labs ($7,000,000); Rollman Management ($7,000,000)"
woo-network,WOO,51366789.51,0.0271,9000000.0,8,"Efficient Frontier ($1,125,000); Wintermute ($1,125,000); Amber Group ($1,125,000); Pulsar ($1,125,000); Caladan (Alphalab) ($1,125,000)"
huma-finance,HUMA,51063999.99,0.0294,37999999.99999999,14,"Fenbushi Capital ($2,714,286); ParaFi Capital ($2,714,286); Distributed Global ($2,714,286); HashKey Capital ($2,714,286); Robot Ventures ($2,714,286)"
mountain-protocol-usd,USDM,47904499.64,0.998,7999999.999999999,6,"Multicoin Capital ($1,333,333); Coinbase Ventures ($1,333,333); Castle Island Ventures ($1,333,333); Wormhole ($1,333,333); Bankless ($1,333,333)"
cysic,CYS,47773680,0.29865,12000000.0,10,"ABCDE Capital ($1,200,000); Web3.com Ventures ($1,200,000); Polychain Capital ($1,200,000); HashKey Capital ($1,200,000); OKX Ventures ($1,200,000)"
lava-network,LAVA,45266454.5,0.1702,26000000.000000004,15,"Ash Crypto ($1,833,333); Animoca Brands ($1,833,333); CoinGecko Ventures ($1,833,333); Sandeep Nailwal ($1,833,333); Gate.io ($1,833,333)"
illuvium,ILV,45138991.12,6.65,12000000.000000004,13,"Animoca Brands ($923,077); Arrington Capital ($923,077); The Spartan Group ($923,077); P2 Ventures ($923,077); King River Capital ($923,077)"
io-net,IO,44661818.68,0.176,30000000.0,20,"Multicoin Capital ($1,500,000); Animoca Brands ($1,500,000); Continue Capital ($1,500,000); Delphi Digital (Delphi Labs) ($1,500,000); OKX Ventures ($1,500,000)"
sanctum,CLOUD,43933873.22,0.08558,350000.0,7,"BOOGLE ($50,000); Davo ($50,000); Deni Ersht ($50,000); Michael Laine ($50,000); macbrennan ($50,000)"
openledger-2,OPEN,43789600,0.2033,8000000.0,9,"Kenny Li ($888,889); Polychain Capital ($888,889); HashKey Capital ($888,889); Borderless Capital ($888,889); Sandeep Nailwal ($888,889)"
momentum-3,MMT,43451915.77,0.2125,5000000.0,12,"Coinbase Ventures ($416,667); Arcanum Capital ($416,667); Amber Group ($416,667); Varys Capital ($416,667); Jump Crypto ($416,667)"
mind-network,FHE,40980000,0.04147,10000000.0,13,"Animoca Brands ($769,231); MV Global ($769,231); ArkStream Capital ($769,231); Mr. Block ($769,231); MH Ventures ($769,231)"
solayer,LAYER,40740000,0.1941,11999999.999999996,14,"Polychain Capital ($857,143); YZi Labs (prev Binance Labs) ($857,143); BitScale Capital ($857,143); Borderless Capital ($857,143); Hack VC ($857,143)"
sign-2,SIGN,40728000,0.03394,41500000.0,2,"YZi Labs (prev Binance Labs) ($28,750,000); IDG Capital ($12,750,000)"
yei-finance,CLO,39633700,0.313,1999999.9999999998,6,"Outlier Ventures ($333,333); Kronos Research ($333,333); WOO Network ($333,333); Side Door Ventures ($333,333); Manifold Trading ($333,333)"
space-and-time,SXT,38962000,0.0279,20000000.0,10,"Hivemind Capital Partners ($2,000,000); M12 ($2,000,000); Faction ($2,000,000); F-Prime Capital ($2,000,000); Arrington Capital ($2,000,000)"
caldera-era,ERA,38881875,0.2221,15000000.0,6,"Sequoia Capital ($2,500,000); Dragonfly Capital ($2,500,000); ArkStream Capital ($2,500,000); Founders Fund ($2,500,000); Lattice ($2,500,000)"
taiko,TAIKO,38665665.12,0.1838,15000000.0,10,"Hashed ($1,500,000); OKX Ventures ($1,500,000); Lightspeed Venture Partners ($1,500,000); Wintermute ($1,500,000); Token Bay Capital ($1,500,000)"
bit2me,B2M,37023661.98,0.01253,34850000.0,1,"Tether ($34,850,000)"
kgen,KGEN,36954066.71,0.18636,23500000.0,6,"Prosus Ventures ($4,500,000); Accel ($4,500,000); Jump Crypto ($4,500,000); P2 Ventures ($3,333,333); Game7 ($3,333,333)"
orderly-network,ORDER,36712773.18,0.10391,5000000.0,6,"OKX Ventures ($833,333); Origin Protocol ($833,333); Nomad Capital ($833,333); Presto Labs ($833,333); Manifold Trading ($833,333)"
across-protocol,ACX,36557589.09,0.0556,41000000.0,5,"Multicoin Capital ($8,200,000); Paradigm ($8,200,000); Coinbase Ventures ($8,200,000); Sina Habibian ($8,200,000); Bain Capital Crypto ($8,200,000)"
corn-2,CORN,36225000,0.06897,15000000.0,15,"Polychain Capital ($1,781,944); Babylon ($1,781,944); Hypersphere Ventures ($1,037,500); Amber Group ($1,037,500); GSR Markets (GSR) ($1,037,500)"
sapien-2,SAPIEN,36150000,0.1449,15500000.0,8,"Animoca Brands ($2,750,000); Primitive Ventures ($2,750,000); Yield Guild Games (YGG) ($2,750,000); Variant ($1,500,000); Gabby Dizon ($1,500,000)"
