project_slug,project_name,symbol,category,market_cap_usd,price_usd,ico_price_usd,ico_roi,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_tier,fund_invested,fund_round_date,fund_round_stage,fund_round_valuation
binancecoin,BNB,BNB,Blockchain,123343549010.54,896.03,0.15,5973.53x,10000000.0,8.107436570635305e-05,1,google-cloud,Google Cloud,,10000000.0,2024-11-12,Funding Round,100000000
ethena-usde,Ethena USDe,USDE,Stablecoin,6524698461.99,0.9993,,,20000000.0,0.0030652757543526542,1,mexc-global-privcode-capital,MEXC Global (Privcode Capital),,20000000.0,2025-02-26,Funding Round,200000000
sui,Sui,SUI,Blockchain,5967775577.96,1.5985,0.1,15.98x,20000000.0,0.0033513324585903274,1,mill-city-ventures,Mill City Ventures,,20000000.0,2025-08-11,OTC,200000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,dragonfly-capital,Dragonfly Capital,Tier 2,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,republic-capital,Republic Capital,Tier 3,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,hypersphere-ventures,Hypersphere Ventures,Tier 2,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,parafi-capital,ParaFi Capital,Tier 2,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,galaxy-digital,Galaxy,Tier 2,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,fintech-collective,FinTech Collective,Tier 3,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,chorus-one,Chorus One,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,cadenza-capital-management,Cadenza Ventures,Tier 3,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,big-brain-holdings,Big Brain Holdings,Tier 3,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,cmcc-global,CMCC Global,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,skybridge-capital,SkyBridge Capital,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,lvna-capital,Lvna Capital,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,superscrypt,Superscrypt,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,morgan-creek-digital,Morgan Creek Digital,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,hivemind-ventures,Hivemind Ventures,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,tane,Tané,,14705882.352941176,2024-12-12,OTC,2500000000
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,17,scb-limited,SCB Limited,,14705882.352941176,2024-12-12,OTC,2500000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,mechanism-capital,Mechanism Capital,Tier 2,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,morningstar-ventures,Morningstar Ventures,Tier 2,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,animoca-brands,Animoca Brands,Tier 3,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,woodstock-fund,Woodstock Fund,Tier 2,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,shima-capital,Shima Capital,Tier 3,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,polygon,P2 Ventures,Tier 3,1333333.3333333333,2024-04-22,Founding Round,120000000
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,9,big-brain-holdings,Big Brain Holdings,Tier 3,1333333.3333333333,2024-04-22,Founding Round,120000000
