project_slug,project_name,symbol,category,market_cap_usd,price_usd,ico_price_usd,ico_roi,total_invested,invest_mcap_ratio,first_valuation,last_valuation,funds_count,top_funds
binancecoin,BNB,BNB,Blockchain,123343549010.54,896.03,0.15,5973.53x,10000000.0,8.107436570635305e-05,100000000,100000000,1,"Google Cloud ($10,000,000)"
ethena-usde,Ethena USDe,USDE,Stablecoin,6524698461.99,0.9993,,,20000000.0,0.0030652757543526542,200000000,200000000,1,"MEXC Global (Privcode Capital) ($20,000,000)"
sui,Sui,SUI,Blockchain,5967775577.96,1.5985,0.1,15.98x,20000000.0,0.0033513324585903274,200000000,200000000,1,"Mill City Ventures ($20,000,000)"
avalanche,Avalanche,AVAX,Blockchain,5707325670.95,13.29,0.5,26.58x,250000000.00000003,0.04380335281592348,2500000000,2500000000,17,"Dragonfly Capital ($14,705,882); Republic Capital ($14,705,882); Hypersphere Ventures ($14,705,882); ParaFi Capital ($14,705,882); Galaxy ($14,705,882)"
shiba-inu,Shiba Inu,SHIB,Meme,4908405104.67,8.33e-06,,,12000000.0,0.0024447859832479697,120000000,120000000,9,"Mechanism Capital ($1,333,333); Morningstar Ventures ($1,333,333); Animoca Brands ($1,333,333); Woodstock Fund ($1,333,333); Shima Capital ($1,333,333)"
ton,Toncoin,TON,Blockchain,3965236202.9,1.617,,,58000000.0,0.014627123589152479,100000000,100000000,5,"Foresight Ventures ($15,000,000); Bitget ($15,000,000); Gate.io ($10,000,000); DWF Labs ($10,000,000); Mirana Ventures ($8,000,000)"
world-liberty-financial,World Liberty Financial,WLFI,DeFi,3914934424.73,0.1441,,,165000000.0,0.04214629980970358,300000000,1000000000,4,"Aqua1 ($100,000,000); Tron ($30,000,000); DWF Labs ($25,000,000); Web3Port ($10,000,000)"
uniswap,Uniswap,UNI,DEX,3447907986.57,5.471,,,165000000.0,0.047855105369022044,1660000000,1660000000,5,"Andreessen Horowitz (a16z) ($33,000,000); Paradigm ($33,000,000); Polychain Capital ($33,000,000); Variant ($33,000,000); SV Angel ($33,000,000)"
canton-network,Canton,CC,Blockchain,2579152743.25,0.07145,,,185000000.0,0.0717289817302099,1350000000,500000000,12,"Tradeweb ($16,875,000); Virtu Financial ($16,875,000); Circle Ventures ($16,875,000); DRW Venture Capital ($16,875,000); Paxos ($16,875,000)"
bitget-token,Bitget Token,BGB,CEX,2513540295.09,3.6066,,,10000000.0,0.003978452233104916,100000000,100000000,1,"Dragonfly Capital ($10,000,000)"
intentx,IntentX,INTX,DEX,2504625683.37,50.63,,,4300000.000000001,0.0017168234074060546,25000000,18000000,13,"Magnus Capital ($357,143); Contango Digital Assets ($357,143); Coral DeFi ($357,143); Prismatic Capital ($357,143); Castle Capital ($357,143)"
falcon-finance,Falcon USD,USDF,Stablecoin,2215861640.92,0.9983,,,10000000.0,0.004512917149397521,100000000,100000000,1,"World Liberty Financial ($10,000,000)"
near,Near,NEAR,Blockchain,2121122375.66,1.658,0.4,4.14x,150000000.0,0.07071727766453201,1500000000,1500000000,15,"Andreessen Horowitz (a16z) ($10,000,000); Mechanism Capital ($10,000,000); Dragonfly Capital ($10,000,000); Three Arrows Capital ($10,000,000); Zee Prime Capital ($10,000,000)"
ethena-labs,Ethena,ENA,DeFi,1891124687.5,0.2464,,,182500000.0,0.09650342000519202,65000000,300000000,40,"MEXC Global (Privcode Capital) ($62,000,000); Dragonfly Capital ($20,828,042); Franklin Templeton ($20,518,519); Polychain Capital ($20,000,000); Pantera Capital ($20,000,000)"
ondo-finance,Ondo Finance,ONDO,RWA (Real World Assets),1462034964.42,0.463,0.055,8.42x,20000000.0,0.013679563407660463,200000000,200000000,5,"Founders Fund ($4,000,000); GoldenTree Asset Management ($4,000,000); Coinbase Ventures ($4,000,000); Tiger Global Management ($4,000,000); Wintermute ($4,000,000)"
worldcoin,World,WLD,Artificial Intelligence (AI),1456314698.66,0.593,,,350000000.0,0.24033267007608022,3000000000,1350000000,10,"Andreessen Horowitz (a16z) ($78,750,000); Khosla Ventures ($50,000,000); Blockchain Capital ($28,750,000); Distributed Global ($28,750,000); Bain Capital Ventures ($28,750,000)"
aptos,Aptos,APT,Blockchain,1264439119.7,1.688,,,350000000.0,0.27680257162799643,2000000000,1500000000,17,"FTX Ventures ($35,416,667); Andreessen Horowitz (a16z) ($35,416,667); Multicoin Capital ($35,416,667); Jump Crypto ($18,750,000); Circle Ventures ($18,750,000)"
ignition-fbtc,Function FBTC,FBTC,Backed Tokens,1049213647.92,90187,,,10000000.0,0.009530947314519183,100000000,100000000,3,"Galaxy ($3,333,333); Antalpha ($3,333,333); Mantle ($3,333,333)"
flare-network,Flare,FLR,Blockchain,1001879433.01,0.01244,,,35000000.0,0.034934343242128074,350000000,350000000,2,"Kenetic Capital ($17,500,000); Aves Lair ($17,500,000)"
