project_name,project_slug,fund_name,amount_usd,stage,date,category,market_cap,project_roi
Ostium Labs,ostium-labs,Jump Trading,20000000,Series A,1764720000000,DeFi,,
Partior,partior,Jump Trading,60000000,Series B,1720742400000,Finance,,
Wormhole,wormhole,Jump Trading,225000000,Funding Round,1701288000000,Blockchain Service,196070000.0,0.44
Aera,aera,Jump Trading,8000000,Funding Round,1698278400000,Blockchain Service,,
ApeX,apex-token-2,Jump Trading,,Seed Round,1648684800000,Perpetual,64080000.0,
Pyth Network,pyth-network,Jump Trading,,Private Round,1640995200000,Oracle,377310000.0,
Sperax,sperax,Jump Trading,6000000,Private Sale,1638316800000,Stablecoin Issuer,11110000.0,0.93
Solana,solana,Jump Trading,314150000,Private Sale,1623246360000,Blockchain,74130000000.0,58.99
Lido DAO,lido-dao,Jump Trading,22000000,Funding Round,1620172800000,DeFi,527650000.0,3.69
Anchor Protocol,anchor-protocol,Jump Trading,20000000,Private Sale,1615978800000,DeFi,1230000.0,0.02
TrueFi,truefi,Jump Trading,20000000,Strategic Round,1527811200000,Lending Platform,15610000.0,0.48
Revolut,revolut,Andreessen Horowitz (a16z),,Funding Round,1763942400000,Finance,,
Kalshi,kalshi,Andreessen Horowitz (a16z),1000000000,Funding Round,1763683200000,Predictions,,
Doppel,doppel,Andreessen Horowitz (a16z),70000000,Series C,1763510400000,Blockchain Service,,
Seismic,seismic-2,Andreessen Horowitz (a16z),10000000,Funding Round,1762905600000,Blockchain,,
Jito,jito-network,Andreessen Horowitz (a16z),50000000,Strategic Round,1760572800000,Liquid Staking Protocols,164980000.0,2.22
Daylight,daylight-2,Andreessen Horowitz (a16z),75000000,Funding Round,1760572800000,DePIN,,
Bastion,bastion,Andreessen Horowitz (a16z),14600000,Funding Round,1758672000000,Blockchain Service,,
Poseidon,poseidon-2,Andreessen Horowitz (a16z),15000000,Seed Round,1753142400000,Blockchain Service,,
XMTP,xmtp,Andreessen Horowitz (a16z),20000000,Series B,1752710400000,Social,,
OpenRouter,openrouter,Andreessen Horowitz (a16z),40000000,Series A,1750982400000,Blockchain Service,,
EigenCloud (prev. EigenLayer),eigenlayer,Andreessen Horowitz (a16z),70000000,OTC,1750118400000,Liquid Staking Protocols,220850000.0,1.30
Yupp,yupp,Andreessen Horowitz (a16z),33000000,Seed Round,1749772800000,Blockchain Service,,
Open Trade,open-trade,Andreessen Horowitz (a16z),7000000,Strategic Round,1749600000000,DeFi,,
Catena Labs,catena-labs,Andreessen Horowitz (a16z),18000000,Seed Round,1747699200000,Blockchain Service,,
Hedra,hedra,Andreessen Horowitz (a16z),32000000,Series A,1747267200000,Blockchain Service,,
Miden,miden,Andreessen Horowitz (a16z),25000000,Seed Round,1745884800000,Blockchain,,
LayerZero,layerzero,Andreessen Horowitz (a16z),55000000,Private Token Sale,1744848000000,Blockchain Service,290770000.0,1.48
Towns,towns,Andreessen Horowitz (a16z),10000000,Series B,1744243200000,Social,17560000.0,0.49
Blackbird,blackbird,Andreessen Horowitz (a16z),50000000,Series B,1744070400000,Social,,
Walrus,walrus-protocol,Andreessen Horowitz (a16z),140000000,Private Token Sale,1742428800000,Storage,236910000.0,0.85
Halliday,halliday,Andreessen Horowitz (a16z),20000000,Series A,1742256000000,Blockchain Service,,
Universal,universal,Andreessen Horowitz (a16z),9000000,Funding Round,1739923200000,DEX,,
Legend,legend-3,Andreessen Horowitz (a16z),15000000,Funding Round,1739232000000,Wallet,,
Merit Systems,merit-systems,Andreessen Horowitz (a16z),10000000,Seed Round,1736985600000,Infrastructure,,
Phantom,phantom,Andreessen Horowitz (a16z),150000000,Series C,1736985600000,Wallet,,
Tranched,tranched,Andreessen Horowitz (a16z),3400000,Pre-seed,1731369600000,Lending Platform,,
mbd,mbd,Andreessen Horowitz (a16z),3000000,Pre-seed,1731283200000,Social,,
Vlayer,vlayer,Andreessen Horowitz (a16z),10000000,Pre-seed,1730678400000,Infrastructure,,
Spire Labs,spire-labs,Andreessen Horowitz (a16z),7000000,Seed Round,1730332800000,Infrastructure,,
Axal,axal,Andreessen Horowitz (a16z),2500000,Pre-seed,1730332800000,Blockchain Service,,
Skyfire,skyfire,Andreessen Horowitz (a16z),1000000,Funding Round,1729728000000,Infrastructure,,
OpenGradient,opengradient,Andreessen Horowitz (a16z),8500000,Seed Round,1728432000000,Infrastructure,,
MeshMap,meshmap,Andreessen Horowitz (a16z),4000000,Funding Round,1727395200000,Blockchain Service,,
AminoChain,aminochain,Andreessen Horowitz (a16z),5000000,Seed Round,1727222400000,Infrastructure,,
Fermah,fermah,Andreessen Horowitz (a16z),5200000,Seed Round,1726531200000,Zero Knowledge,,
Magicblock,magicblock,Andreessen Horowitz (a16z),3000000,Pre-seed,1726531200000,Infrastructure,,
PIN AI,pin-ai,Andreessen Horowitz (a16z),10000000,Pre-seed,1725840000000,Artificial Intelligence (AI),,
Cork Protocol,cork-protocol,Andreessen Horowitz (a16z),,Funding Round,1725840000000,DeFi,,
Blocksense Network,blocksense-network,Andreessen Horowitz (a16z),4000000,Seed Round,1725840000000,Infrastructure,,
t1 Protocol,t1-protocol,Andreessen Horowitz (a16z),2500000,Pre-seed,1725840000000,Infrastructure,,
Moku,moku,Andreessen Horowitz (a16z),5350000,Funding Round,1725840000000,Gaming,,
Balance,balance,Andreessen Horowitz (a16z),30000000,Funding Round,1725494400000,Gaming,4410000.0,0.15
Story,story,Andreessen Horowitz (a16z),80000000,Series B,1724198400000,Blockchain,665710000.0,3.60
Morpho,morpho,Andreessen Horowitz (a16z),50000000,Funding Round,1722470400000,Lending Platform,644560000.0,6.45
Neynar,neynar,Andreessen Horowitz (a16z),11000000,Series A,1717027200000,Infrastructure,,
Farcaster,farcaster,Andreessen Horowitz (a16z),150000000,Series A,1716249600000,Social,,
Kiosk,kiosk,Andreessen Horowitz (a16z),10000000,Funding Round,1714608000000,Social,,
Optimism,optimism,Andreessen Horowitz (a16z),90000000,Private Purchase,1714521600000,Layer-2,585850000.0,2.21
MyPrize,myprize,Andreessen Horowitz (a16z),13000000,Funding Round,1711411200000,Gambling,,
Espresso Systems,espresso-systems,Andreessen Horowitz (a16z),28000000,Series B,1710979200000,Infrastructure,,
MadWorld,madworld-2,Andreessen Horowitz (a16z),13000000,Series A,1710374400000,Gaming,,
NodeKit,nodekit,Andreessen Horowitz (a16z),,Funding Round,1707955200000,Blockchain,,
Friends With Benefits Pro,friends-with-benefits-pro,Andreessen Horowitz (a16z),3000000,Funding Round,1705968000000,,,
Pontem Liquidswap,pontem-liquidswap,Andreessen Horowitz (a16z),6000000,Funding Round,1704931200000,Aptos Ecosystem,,
formless,formless,Andreessen Horowitz (a16z),2200000,Pre-seed,1703030400000,Social,,
Dynamic,dynamic-ico,Andreessen Horowitz (a16z),13500000,Series A,1702425600000,,,
Setter,setter,Andreessen Horowitz (a16z),5000000,Seed Round,1701129600000,Social,,
EthXY,ethxy,Andreessen Horowitz (a16z),1600000,Pre-seed,1699920000000,Gaming,,
Stackr,stackr,Andreessen Horowitz (a16z),5500000,Seed Round,1699401600000,Infrastructure,,
Pimlico,pimlico,Andreessen Horowitz (a16z),4200000,Seed Round,1699315200000,Infrastructure,,
smlXL,smlxl,Andreessen Horowitz (a16z),13400000,Funding Round,1698105600000,Blockchain Service,,
IYK,iyk,Andreessen Horowitz (a16z),16800000,Seed Round,1695859200000,Web 3.0,,
Proof of Play,proof-of-play,Andreessen Horowitz (a16z),33000000,Seed Round,1695254400000,Gaming,,
Freatic,freatic,Andreessen Horowitz (a16z),3600000,Seed Round,1695168000000,Blockchain Service,,
MotherDuck,motherduck,Andreessen Horowitz (a16z),52500000,Series B,1695168000000,Big Data,,
Ideogram AI ,ideogram-ai,Andreessen Horowitz (a16z),16500000,Seed Round,1692662400000,Artificial Intelligence (AI),,
socket,socket-2,Andreessen Horowitz (a16z),20000000,Series A,1690848000000,Software,,
Sound.xyz,sound-xyz,Andreessen Horowitz (a16z),20000000,Series A,1689120000000,Music,,
Narval,narval,Andreessen Horowitz (a16z),4000000,Seed Round,1688947200000,Wallet,,
Mythos,mythos,Andreessen Horowitz (a16z),37000000,Extended Series C,1687824000000,Gaming,19190000.0,0.10
Mythical Games,mythical-games,Andreessen Horowitz (a16z),37000000,Extended Series C,1687824000000,Gaming,,
Gensyn,gensyn,Andreessen Horowitz (a16z),43000000,Series A,1686528000000,Blockchain Service,,
World,worldcoin,Andreessen Horowitz (a16z),115000000,Series C,1684972800000,Artificial Intelligence (AI),1460000000.0,8.85
Character.ai,character-ai,Andreessen Horowitz (a16z),150000000,Series A,1679529600000,Artificial Intelligence (AI),,
CCP Games,ccp-games,Andreessen Horowitz (a16z),40000000,Seed Round,1679356800000,Gaming,,
EVE Online,eve-online-ico,Andreessen Horowitz (a16z),40000000,Seed Round,1677628800000,,,
Capsule Social,capsule-social-ico,Andreessen Horowitz (a16z),,Funding Round,1677628800000,,,
Yield Guild Games,yield-guild-games,Andreessen Horowitz (a16z),13800000,Funding Round,1676592000000,Gaming,50020000.0,3.17
Alongside Crypto Market Index,alongside-crypto-market-index,Andreessen Horowitz (a16z),11000000,Seed Round,1676419200000,Index,,
Azra Games,azra-games,Andreessen Horowitz (a16z),10000000,Seed Plus Round,1675209600000,Gaming,,
Carry1st,carry1st-ico,Andreessen Horowitz (a16z),27000000,Series B Round,1672531200000,,,
Champions Ascension,champions-ascension-ico,Andreessen Horowitz (a16z),32000000,Seed Round,1672531200000,,,
Voldex,voldex-ico,Andreessen Horowitz (a16z),,Series A Round,1672531200000,,,
Aztec,aztec,Andreessen Horowitz (a16z),100000000,Series B,1671062400000,Blockchain,,
ZKsync,zksync,Andreessen Horowitz (a16z),200000000,Series C,1668556800000,Layer-2,281110000.0,0.43
Uniswap,uniswap,Andreessen Horowitz (a16z),165000000,Series B,1665619200000,DEX,3400000000.0,6.72
Golden,golden-ico,Andreessen Horowitz (a16z),40000000,Series B Round,1664755200000,,,
MystenLabs,mystenlabs-ico,Andreessen Horowitz (a16z),300000000,Series B Round,1662595200000,,,
Sui,sui,Andreessen Horowitz (a16z),300000000,Series B,1661990400000,Blockchain,5810000000.0,4.70
Ready Player Me,ready-player-me-ico,Andreessen Horowitz (a16z),56000000,Series B Round,1661234400000,,,
CreatorDAO,creatordao,Andreessen Horowitz (a16z),20000000,Seed Round,1659312000000,DAO,1080000.0,0.05
Aptos,aptos,Andreessen Horowitz (a16z),150000000,Series A,1658707200000,Blockchain,1270000000.0,2.82
Cryptoys,cryptoys-ico,Andreessen Horowitz (a16z),23000000,Series A Round,1656028800000,,,
