project_name,project_slug,investor_count,total_invested_usd,market_cap_usd,roi,category,investors
Near,near,6,153503155,2150000000.0,14.01,Blockchain,Andreessen Horowitz (a16z); Multicoin Capital; Electric Capital; Balaji Srinivasan; Ideo Colab Ventures; Pantera Capital
Oasis,oasis-network,6,270000000,92900000.0,0.34,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Polychain Capital; Electric Capital; Binance Labs; Pantera Capital
Farcaster,farcaster,6,540000000,,,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv; Paradigm; Balaji Srinivasan; 1Confirmation
Ethena,ethena-labs,5,228000000,1930000000.0,8.46,DeFi,Lightspeed Venture Partners; Polychain Capital; Binance Labs; Cobie; Pantera Capital
StarkNet,starknet,5,98000000,502230000.0,5.12,Blockchain,Multicoin Capital; Polychain Capital; Paradigm; Pantera Capital; Vitalik Buterin
Sui,sui,5,1236000000,5810000000.0,4.70,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
Arbitrum,arbitrum,5,420000000,1160000000.0,2.76,Layer-2,Egirl Capital; Lightspeed Venture Partners; Polychain Capital; Mark Cuban; Pantera Capital
Celestia,celestia,5,266500000,496030000.0,1.86,Modular Blockchain,Jump Crypto; Egirl Capital; Polychain Capital; 1Kx; Binance Labs
Mina Protocol,mina-protocol,5,118520000,116340000.0,0.98,Blockchain,Multicoin Capital; Polychain Capital; Electric Capital; Paradigm; Pantera Capital
dYdX,dydx,5,270000000,156400000.0,0.58,DEX,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital; Paradigm; 1Confirmation
ZKsync,zksync,5,656000000,281110000.0,0.43,Layer-2,Andreessen Horowitz (a16z); Egirl Capital; Lightspeed Venture Partners; Union Square Ventures Usv; 1Kx
Gitcoin,gitcoin,5,56500000,13350000.0,0.24,Infrastructure,Electric Capital; Paradigm; Balaji Srinivasan; 1Kx; Ideo Colab Ventures
MystenLabs,mystenlabs-ico,5,1236000000,,,,Andreessen Horowitz (a16z); Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
Socket,socket,5,22000000,,,Infrastructure,Egirl Capital; Lightspeed Venture Partners; Framework Ventures; Mark Cuban; Ideo Colab Ventures
Solana,solana,4,1256600000,74130000000.0,58.99,Blockchain,Jump Trading; Andreessen Horowitz (a16z); Multicoin Capital; Polychain Capital
Injective,injective-protocol,4,70000000,541840000.0,7.74,Blockchain,Jump Crypto; Mark Cuban; Binance Labs; Pantera Capital
Arweave,arweave,4,33200000,256959999.99999997,7.74,Storage,Andreessen Horowitz (a16z); Egirl Capital; Multicoin Capital; Union Square Ventures Usv
Uniswap,uniswap,4,506000000,3400000000.0,6.72,DEX,Andreessen Horowitz (a16z); Polychain Capital; Union Square Ventures Usv; Paradigm
Internet Computer,internet-computer,4,367000000,1820000000.0,4.96,Blockchain,Andreessen Horowitz (a16z); Multicoin Capital; Polychain Capital; Union Square Ventures Usv
Audius,audius,4,12950000,45960000.0,3.55,NFT,Multicoin Capital; Lightspeed Venture Partners; Binance Labs; Pantera Capital
