project_name,project_slug,investor_count,total_invested_usd,category,investors
Farcaster,farcaster,6,540000000,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv; Paradigm; Balaji Srinivasan; 1Confirmation
Oasis,oasis-network,6,270000000,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Polychain Capital; Electric Capital; Binance Labs; Pantera Capital
Near,near,6,153503155,Blockchain,Andreessen Horowitz (a16z); Multicoin Capital; Electric Capital; Balaji Srinivasan; Ideo Colab Ventures; Pantera Capital
MystenLabs,mystenlabs-ico,5,1236000000,,Andreessen Horowitz (a16z); Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
Sui,sui,5,1236000000,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
ZKsync,zksync,5,656000000,Layer-2,Andreessen Horowitz (a16z); Egirl Capital; Lightspeed Venture Partners; Union Square Ventures Usv; 1Kx
Arbitrum,arbitrum,5,420000000,Layer-2,Egirl Capital; Lightspeed Venture Partners; Polychain Capital; Mark Cuban; Pantera Capital
dYdX,dydx,5,270000000,DEX,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital; Paradigm; 1Confirmation
Celestia,celestia,5,266500000,Modular Blockchain,Jump Crypto; Egirl Capital; Polychain Capital; 1Kx; Binance Labs
Ethena,ethena-labs,5,228000000,DeFi,Lightspeed Venture Partners; Polychain Capital; Binance Labs; Cobie; Pantera Capital
Mina Protocol,mina-protocol,5,118520000,Blockchain,Multicoin Capital; Polychain Capital; Electric Capital; Paradigm; Pantera Capital
StarkNet,starknet,5,98000000,Blockchain,Multicoin Capital; Polychain Capital; Paradigm; Pantera Capital; Vitalik Buterin
Gitcoin,gitcoin,5,56500000,Infrastructure,Electric Capital; Paradigm; Balaji Srinivasan; 1Kx; Ideo Colab Ventures
Socket,socket,5,22000000,Infrastructure,Egirl Capital; Lightspeed Venture Partners; Framework Ventures; Mark Cuban; Ideo Colab Ventures
FTX Token,ftx-token,4,1700000000,CEX,Multicoin Capital; Lightspeed Venture Partners; Paradigm; Binance Labs
Solana,solana,4,1256600000,Blockchain,Jump Trading; Andreessen Horowitz (a16z); Multicoin Capital; Polychain Capital
Helium,helium,4,615000000,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv; Pantera Capital
Uniswap,uniswap,4,506000000,DEX,Andreessen Horowitz (a16z); Polychain Capital; Union Square Ventures Usv; Paradigm
Axie Infinity,axie-infinity,4,457500000,Gaming,Andreessen Horowitz (a16z); Paradigm; Mark Cuban; Binance Labs
Aptos,aptos,4,450000000,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Multicoin Capital; Binance Labs
Internet Computer,internet-computer,4,367000000,Blockchain,Andreessen Horowitz (a16z); Multicoin Capital; Polychain Capital; Union Square Ventures Usv
