project,project_slug,category,market_cap,fund,fund_slug,invested_amount,investment_date,stage,project_roi,total_project_investment,investors_in_project
Kalshi,kalshi,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,19500000000.0,,Funding Round,,22275000000.0,2
Kalshi,kalshi,,,Multicoin Capital,multicoin-capital,2775000000.0,,Series C,,22275000000.0,2
Forward Industries,forward-industries,,,Jump Crypto,jump-crypto,24750000000.0,,,,49500000000.0,2
Forward Industries,forward-industries,,,Multicoin Capital,multicoin-capital,24750000000.0,,,,49500000000.0,2
Ostium Labs,ostium-labs,,,Jump Trading,jump-trading,300000000.0,,Series A,,300000000.0,1
Partior,partior,,,Jump Trading,jump-trading,900000000.0,,Series B,,900000000.0,1
Wormhole,wormhole,,205660000.0,Jump Trading,jump-trading,3375000000.0,,Funding Round,0.060936296296296294,3375000000.0,1
Aera,aera,,,Jump Trading,jump-trading,120000000.0,,Funding Round,,120000000.0,1
Apex Token 2,apex-token-2,,66379999.99999999,Jump Trading,jump-trading,,,Seed Round,,0.0,1
Sperax,sperax,,11240000.0,Jump Trading,jump-trading,90000000.0,,Private Sale,0.12488888888888888,90000000.0,1
Solana,solana,,76820000000.0,Jump Trading,jump-trading,4712250000.0,,Private Sale,16.302191097670963,4712250000.0,1
Lido Dao,lido-dao,,554820000.0,Jump Trading,jump-trading,330000000.0,,Funding Round,1.6812727272727273,330000000.0,1
Anchor Protocol,anchor-protocol,,1230000.0,Jump Trading,jump-trading,300000000.0,,Private Sale,0.0041,300000000.0,1
Revolut,revolut,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,1125000000000.0,,Funding Round,,1125000000000.0,1
Doppel,doppel,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,1575000000.0,,Series C,,1575000000.0,1
Seismic 2,seismic-2,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,150000000.0,,Funding Round,,150000000.0,1
Jito Network,jito-network,,173050000.0,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,750000000.0,,Strategic Round,0.23073333333333335,750000000.0,1
Bastion,bastion,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,219000000.0,,Funding Round,,219000000.0,1
Poseidon 2,poseidon-2,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,225000000.0,,Seed Round,,225000000.0,1
Xmtp,xmtp,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,300000000.0,,Series B,,300000000.0,1
Openrouter,openrouter,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,600000000.0,,Series A,,600000000.0,1
Eigenlayer,eigenlayer,,233470000.0,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,1050000000.0,,,0.22235238095238094,1050000000.0,1
Yupp,yupp,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,495000000.0,,Seed Round,,495000000.0,1
Open Trade,open-trade,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,105000000.0,,Strategic Round,,105000000.0,1
Catena Labs,catena-labs,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,270000000.0,,Seed Round,,270000000.0,1
Hedra,hedra,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,480000000.0,,Series A,,480000000.0,1
Miden,miden,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,375000000.0,,Seed Round,,375000000.0,1
Layerzero,layerzero,,299490000.0,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,825000000.0,,Private Token Sale,0.3630181818181818,825000000.0,1
Towns,towns,,18260000.0,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,150000000.0,,Series B,0.12173333333333333,150000000.0,1
