project,slug,category,market_cap,total_invested,roi,investor_count,investors,top_investor,top_investment
Kalshi,kalshi,,,22275000000.0,,2,"Andreessen Horowitz (a16z), Multicoin Capital",Andreessen Horowitz (a16z),19500000000.0
Forward Industries,forward-industries,,,49500000000.0,,2,"Jump Crypto, Multicoin Capital",Jump Crypto,24750000000.0
Ostium Labs,ostium-labs,,,300000000.0,,1,Jump Trading,Jump Trading,300000000.0
Partior,partior,,,900000000.0,,1,Jump Trading,Jump Trading,900000000.0
Wormhole,wormhole,,205660000.0,3375000000.0,0.060936296296296294,1,Jump Trading,Jump Trading,3375000000.0
Aera,aera,,,120000000.0,,1,Jump Trading,Jump Trading,120000000.0
Apex Token 2,apex-token-2,,66379999.99999999,0.0,,1,Jump Trading,Jump Trading,
Sperax,sperax,,11240000.0,90000000.0,0.12488888888888888,1,Jump Trading,Jump Trading,90000000.0
Solana,solana,,76820000000.0,4712250000.0,16.302191097670963,1,Jump Trading,Jump Trading,4712250000.0
Lido Dao,lido-dao,,554820000.0,330000000.0,1.6812727272727273,1,Jump Trading,Jump Trading,330000000.0
Anchor Protocol,anchor-protocol,,1230000.0,300000000.0,0.0041,1,Jump Trading,Jump Trading,300000000.0
Revolut,revolut,,,1125000000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),1125000000000.0
Doppel,doppel,,,1575000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),1575000000.0
Seismic 2,seismic-2,,,150000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),150000000.0
Jito Network,jito-network,,173050000.0,750000000.0,0.23073333333333335,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),750000000.0
Bastion,bastion,,,219000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),219000000.0
Poseidon 2,poseidon-2,,,225000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),225000000.0
Xmtp,xmtp,,,300000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),300000000.0
Openrouter,openrouter,,,600000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),600000000.0
Eigenlayer,eigenlayer,,233470000.0,1050000000.0,0.22235238095238094,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),1050000000.0
Yupp,yupp,,,495000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),495000000.0
Open Trade,open-trade,,,105000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),105000000.0
Catena Labs,catena-labs,,,270000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),270000000.0
Hedra,hedra,,,480000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),480000000.0
Miden,miden,,,375000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),375000000.0
Layerzero,layerzero,,299490000.0,825000000.0,0.3630181818181818,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),825000000.0
Towns,towns,,18260000.0,150000000.0,0.12173333333333333,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),150000000.0
Blackbird,blackbird,,,750000000.0,,1,Andreessen Horowitz (a16z),Andreessen Horowitz (a16z),750000000.0
Kgen,kgen,,37690000.0,202500000.0,0.18612345679012346,1,Jump Crypto,Jump Crypto,202500000.0
Zerohash,zerohash,,,1560000000.0,,1,Jump Crypto,Jump Crypto,1560000000.0
Raiku,raiku,,,168750000.0,,1,Jump Crypto,Jump Crypto,168750000.0
Soon,soon,,219400000.0,75000000.0,2.925333333333333,1,Jump Crypto,Jump Crypto,75000000.0
Cooking City,cooking-city,,,105000000.0,,1,Jump Crypto,Jump Crypto,105000000.0
Nirvana Labs,nirvana-labs,,,90000000.0,,1,Jump Crypto,Jump Crypto,90000000.0
Securitize,securitize,,,0.0,,1,Jump Crypto,Jump Crypto,
Momentum 3,momentum-3,,43170000.0,75000000.0,0.5756,1,Jump Crypto,Jump Crypto,75000000.0
Streamflow,streamflow,,2330000.0,28500000.0,0.08175438596491227,1,Jump Crypto,Jump Crypto,28500000.0
NodepayNC,nodecoin-2,,,0.0,,1,Jump Crypto,Jump Crypto,
Nexus Interactive,nexus-interactive,,,30000000.0,,1,Jump Crypto,Jump Crypto,30000000.0
Play Ai,play-ai,,,64500000.0,,1,Jump Crypto,Jump Crypto,64500000.0
Coinflow Ico,coinflow-ico,,,33750000.0,,1,Jump Crypto,Jump Crypto,33750000.0
Figure Markets,figure-markets,,,900000000.0,,1,Jump Crypto,Jump Crypto,900000000.0
Squads,squads,,,85500000.0,,1,Jump Crypto,Jump Crypto,85500000.0
Membrane Labs,membrane-labs,,,300000000.0,,1,Jump Crypto,Jump Crypto,300000000.0
Opencover,opencover,,,69000000.0,,1,Jump Crypto,Jump Crypto,69000000.0
Luminadex,luminadex,,,0.0,,1,Jump Crypto,Jump Crypto,
