slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
sui,Sui,SUI,Blockchain,launched,CURRENTLY_TRADING,1.3976,5220402305.83,13970000000,0,0,0,3736866360.65,10000000000,10000000000,13.806,1380639932,35.02,5.35,0.3643,0.1,13.98,20000000,"OTC (2025-08-11): $20,000,000",1899.69,1,Mill City Ventures,1,Mill City Ventures
ethena-labs,Ethena,ENA,DeFi,launched,CURRENTLY_TRADING,0.2101,1615031250,3150000000,0,0,0,7690625000,15000000000,15000000000,48.52,7277962500,51.49,1.513,0.1942,0,0,200000000,"Private Sale (2025-02-24): $100,000,000; Private Sale (2025-02-24): $100,000,000",1820.92,2,"Franklin Templeton, Polychain Capital",5,"Dragonfly Capital, F-Prime Capital, Franklin Templeton, Pantera Capital, Polychain Capital"
double-zero-crypto-coin,DoubleZero,2Z,DePIN,launched,CURRENTLY_TRADING,0.11485,398171587.25,1147000000,0,0,0,3471417500,10000000000,10000000000,65.29,6528799999,34.71,1.01,0.7375,0,0,28000000,"Private Token Sale (2025-03-06): $28,000,000",1178.71,1,Multicoin Capital,9,"Borderless Capital, DBA, Dragonfly Capital, Foundation Capital, Frictionless, Multicoin Capital, Reciprocal Ventures, Superscrypt, Ubik Capital"
stable-2,Stable,STABLE,Blockchain,launched,CURRENTLY_TRADING,0.01228,214544000,1219000000,0,0,0,17600000000,100000000000,,82,82000000000,18,0.07204,0.02367,0,0,56000000,"Seed Round (2025-07-31): $28,000,000; Seed Round (2025-07-31): $28,000,000",1132.26,2,"Franklin Templeton, eGirl Capital",17,"BTSE Labs, Bitfinex, Blue Pool Capital, Bryan Johnson, Bybit, Castle Island Ventures, Franklin Templeton, Gabriel Abed, Hack VC, KuCoin Ventures, Mirana Ventures, Nascent, Nathan McCauley, Paolo Ardoino, Susquehanna International Group (SIG), USDT0, eGirl Capital"
walrus-protocol,Walrus,WAL,Storage,launched,CURRENTLY_TRADING,0.1194,184243937.5,596500000,0,0,0,1544375000,5000000000,5000000000,69.3,3465133061,24.7,0.7622,0.1158,0,0,140000000,"Private Token Sale (2025-03-20): $140,000,000",843.67,1,Franklin Templeton,10,"Andreessen Horowitz (a16z), Comma3 Ventures, Electric Capital, Franklin Templeton, Karatage, Lvna Capital, Protagonist, RW3 Ventures, Raptor Group, Standard Crypto"
grass,Grass,GRASS,Artificial Intelligence (AI),launched,CURRENTLY_TRADING,0.2975,129363185.15,297100000,0,0,0,435419674,1000000000,1000000000,65.16,651635606,34.84,3.919,0.2669,0,0,10000000,"Funding Round (2025-10-07): $10,000,000",118.88,1,Polychain Capital,2,"Polychain Capital, Tribe Capital"
axelar,Axelar,AXL,Infrastructure,launched,CURRENTLY_TRADING,0.0718,78303344.18,87895665.71,0,0,0,1092858955.8,1226736436.97,,12.91,129098144,82.09,2.618,0.07061,1,0.07,30000000,"OTC (2025-03-11): $30,000,000",1206.22,1,Distributed Global,7,"Arrington Capital, C2Ventures (Csquared), Distributed Global, Electric Capital, Laser Digital, Plassa Capital, WAGMI Ventures"
geodnet,Geodnet,GEOD,Polygon Ecosystem,launched,CURRENTLY_TRADING,0.145,63622802.03,141602587.36,0,0,0,438777945,976569568,1000000000,0,0,0,0.3761,0.03422,0,0,8000000,"Strategic Round (2025-02-25): $8,000,000",0,1,Multicoin Capital,3,"Digital Asset Capital Management (DACM), Multicoin Capital, ParaFi Capital"
corn-2,corn,CORN,Layer-2,launched,CURRENTLY_TRADING,0.07094,37280250,149121000,0,0,0,525000000,2100000000,2100000000,38,797999999,10,0.1329,0.02104,0,0,8300000,"Community (2025-01-22): $8,300,000",804.81,1,Polychain Capital,8,"Amber Group, Arbitrum Foundation, Babylon, GSR Markets (GSR), Hypersphere Ventures, Laser Digital, Polychain Capital, Presto Labs"
across-protocol,Across Protocol,ACX,Protocol,launched,CURRENTLY_TRADING,0.052,34224114.98,51880000,0,0,0,659678392.15,1000000000,1000000000,0,0,0,1.72,0.03419,0,0,41000000,"Private Token Sale (2025-03-04): $41,000,000",1212.07,1,Multicoin Capital,5,"Bain Capital Crypto, Coinbase Ventures, Multicoin Capital, Paradigm, Sina Habibian"
aria-3,Aria,ARIAIP,Protocol,launched,CURRENTLY_TRADING,0.0288,9600390,28830000,0,0,0,333000000,1000000000,1000000000,0,0,0,0.1651,0.02774,0,0,15000000,"Seed Round (2025-09-03): $15,000,000",648.31,1,Polychain Capital,3,"Neoclassic Capital, Polychain Capital, Story Protocol"
cygnus-finance,Cygnus,CGN,Blockchain,launched,CURRENTLY_TRADING,0.002998,6895400,29980000,0,0,0,2300000000,10000000000,10000000000,75.86,7585750000,24.14,0.03399,0.00182,0,0,20000000,"Pre-seed (2025-02-19): $20,000,000",294.31,1,eGirl Capital,8,"CL207, G-20 Group, Manifold Trading, Mirana Ventures, OKX Ventures, Optimism Foundation, UpHonest Capital, eGirl Capital"
375ai,375ai,EAT,Infrastructure,launched,CURRENTLY_TRADING,0.03177,6771716.66,31770000,0,0,0,213148148,1000000000,1000000000,40,400000000,17.5,0.07724,0.02741,0,0,10000000,"Funding Round (2025-10-08): $10,000,000",444.77,1,Strobe (Prev. BlockTower Capital),10,"6MV (6th Man Ventures), Alpen, Arca, Auros, Delphi Digital (Delphi Labs), EV3, Factor Capital, Hack VC, Moonrock Capital, Strobe (Prev. BlockTower Capital)"
shrapnel,Shrapnel,SHRAP,Gaming,launched,CURRENTLY_TRADING,0.001204,1864273.57,3612000,0,0,0,1548399978.02,3000000000,9965,25.58,767534118,41.42,0.4371,0.0006612,0,0,19500000,"Funding Round (2025-08-13): $19,500,000",1389.36,1,Polychain Capital,3,"Gala Games, Griffin Gaming Partners, Polychain Capital"
architect,Architect,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,35000000,"Series A (2025-12-23): $35,000,000",0,1,Strobe (Prev. BlockTower Capital),12,"3K VC, ARK Invest, Auros Global, CMT Digital, Coinbase Ventures, Galaxy, Geneva Trading, Miami International, Strobe (Prev. BlockTower Capital), Tioga Capital Partners, Trumid, VanEck"
billions-network,Billions Network,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,30000000,"Funding Round (2025-07-31): $30,000,000",1112.87,1,Polychain Capital,5,"BITKRAFT Ventures, Coinbase Ventures, Liberty City Ventures, Polychain Capital, Polygon Labs"
cap-3,CAP,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-04-07): $8,000,000",93.34,1,Franklin Templeton,24,"Auros Global, Breed, Bryan Pellegrino, CMCC Global, Caladan (Alphalab), Curved Ventures, Fasanara Capital, Flow Traders, Flowdesk, Franklin Templeton, GSR Markets (GSR), IMC Financial Markets, Jason Yanowitz, Laser Digital, Lucas Kozinski, Paper Ventures, Presto Labs, RockawayX, Selini Capital, Sonya Kim, Spencer Noon, Superscrypt, Triton Capital, nonce Classic"
cascade,Cascade,,Perpetual,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-12-09): $15,000,000",345.85,1,Polychain Capital,4,"Archetype, Coinbase Ventures, Polychain Capital, Variant"
