slug,name,symbol,category,investor_category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
sui,Sui,SUI,Blockchain,Additional TOP Funds,launched,CURRENTLY_TRADING,1.3976,5220402305.83,13970000000,0,0,0,3736866360.65,10000000000,10000000000,13.806,1380639932,35.02,5.35,0.3643,0.1,13.98,20000000,"OTC (2025-08-11): $20,000,000",1899.69,1,Mill City Ventures,1,Mill City Ventures
ethena-labs,Ethena,ENA,DeFi,Additional TOP Funds,launched,CURRENTLY_TRADING,0.2101,1615031250,3150000000,0,0,0,7690625000,15000000000,15000000000,48.52,7277962500,51.49,1.513,0.1942,0,0,200000000,"Private Sale (2025-02-24): $100,000,000; Private Sale (2025-02-24): $100,000,000",1820.92,2,"Franklin Templeton, Polychain Capital",5,"Dragonfly Capital, F-Prime Capital, Franklin Templeton, Pantera Capital, Polychain Capital"
double-zero-crypto-coin,DoubleZero,2Z,Infrastructure,TOP Retail ROI; TOP Private ROI; Additional TOP Funds,launched,CURRENTLY_TRADING,0.11475,398518729,1148000000,0,0,0,3471417500,10000000000,10000000000,65.29,6528799999,34.71,1.01,0.7375,0,0,56000000,"Private Token Sale (2025-03-06): $28,000,000; Private Token Sale (2025-03-06): $28,000,000",1178.71,2,"Reciprocal Ventures, Ubik Capital",9,"Borderless Capital, DBA, Dragonfly Capital, Foundation Capital, Frictionless, Multicoin Capital, Reciprocal Ventures, Superscrypt, Ubik Capital"
kaia,Kaia,KAIA,Blockchain,TOP Retail ROI,launched,CURRENTLY_TRADING,0.0555,327620539.33,327620549.9,0,0,0,5856641747.11,5856641936.04,,0,0,0,4.355,0.05416,1,0.05594,0,,876.41,1,IDG Capital,12,"1kx, Blockchain Capital, Caladan (Alphalab), Comma3 Ventures, Galaxy, IDG Capital, Lingfeng Capital, MEXC Global (Privcode Capital), Mirana Ventures, SNZ Holding, The Spartan Group, Waterdrip Capital"
layerzero,LayerZero,ZRO,Blockchain Service,TOP Retail ROI,launched,CURRENTLY_TRADING,1.243,251867881.96,1243000000,0,0,0,202629028.12,1000000000,1000000000,44.42,444239999,42.28,7.53,1.083,0,0,55000000,"Private Token Sale (2025-04-17): $55,000,000",2269.88,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
stable-2,Stable,STABLE,Blockchain,Additional TOP Funds,launched,CURRENTLY_TRADING,0.01228,214544000,1219000000,0,0,0,17600000000,100000000000,,82,82000000000,18,0.07204,0.02367,0,0,56000000,"Seed Round (2025-07-31): $28,000,000; Seed Round (2025-07-31): $28,000,000",1132.26,2,"Franklin Templeton, eGirl Capital",17,"BTSE Labs, Bitfinex, Blue Pool Capital, Bryan Johnson, Bybit, Castle Island Ventures, Franklin Templeton, Gabriel Abed, Hack VC, KuCoin Ventures, Mirana Ventures, Nascent, Nathan McCauley, Paolo Ardoino, Susquehanna International Group (SIG), USDT0, eGirl Capital"
eigenlayer,EigenCloud (prev. EigenLayer),EIGEN,Liquid Staking Protocols,TOP Retail ROI,launched,CURRENTLY_TRADING,0.39,192495854,692455119.19,0,0,0,494593663.91,1779175537.5,,48.4,810044987,22.6,5.65,0.6683,0,0,70000000,"OTC (2025-06-17): $70,000,000",0,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
walrus-protocol,Walrus,WAL,Storage,TOP Retail ROI; Additional TOP Funds,launched,CURRENTLY_TRADING,0.1195,184398375,597000000,0,0,0,1544375000,5000000000,5000000000,69.3,3465133061,24.7,0.7622,0.1158,0,0,140000000,"Private Token Sale (2025-03-20): $140,000,000",843.67,1,Andreessen Horowitz (a16z),10,"Andreessen Horowitz (a16z), Comma3 Ventures, Electric Capital, Franklin Templeton, Karatage, Lvna Capital, Protagonist, RW3 Ventures, Raptor Group, Standard Crypto"
soon,SOON,SOON,Blockchain Service,TOP Private ROI,launched,CURRENTLY_TRADING,0.3507,176250000,352500000,0,0,0,500000000,1000000000,,60.87,608664039,39.13,0.5527,0.5034,0,0,5000000,"Strategic Round (2025-06-11): $5,000,000",659.72,1,Jump Crypto,6,"Amber Group, Chris Hermida, Jump Crypto, Mark Hull, Nana Murugesan, Tori Cohen"
jito-network,Jito,JTO,Liquid Staking Protocols,TOP Retail ROI,launched,CURRENTLY_TRADING,0.379,157557460.46,376777045.78,0,0,0,416598256.1,996237561.55,,25.02,250246948,50.68,14.14,0.3082,0,0,50000000,"Strategic Round (2025-10-16): $50,000,000",1262.23,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
