slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
home,HOME,HOME,DeFi,launched,CURRENTLY_TRADING,0.0212,67120533.33,211200000,0,0,0,3178055555.57,10000000000,10000000000,69.26,6925750000,30.74,0.04918,0.01788,0,0,2000000,"Extended Seed Round (2025-02-13): $2,000,000",0,1,Balaji Srinivasan,4,"Balaji Srinivasan, DCF Capital Partners, Mechanism Capital, Pentoshi"
capx-ai,Capx AI,CAPX,Blockchain,launched,CURRENTLY_TRADING,0.2123,21760750,212300000,0,0,0,102500000,1000000000,1000000000,0,0,0,0.3045,0.211,0,0,3140000,"Seed Round (2025-03-26): $3,140,000",515.17,1,Richard Ma (Quantstamp),19,"Amrit Kumar, Arcanum Capital, Autonomy Capital, Blockarm Capital, Blue7, Cogitent Ventures, Gate.io, Kenny Li, Luganodes, MH Ventures, Manifold Trading, Mythos Venture Partners, Next Web Capital, P2 Ventures, Richard Ma (Quantstamp), Rob Hadick, STIX, Sandeep Nailwal, echo"
noice,noice,NOICE,Meme,launched,CURRENTLY_TRADING,9.668e-05,5399290.86,9668000,0,0,0,55847029951.68,100000000000,100000000000,0,0,0,0.000596,2.775e-05,0,0,0,,657.9,1,Balaji Srinivasan,2,"Balaji Srinivasan, Coinbase Ventures"
belfort,Belfort,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6000000,"Seed Round (2025-09-24): $6,000,000",128,1,Naval Ravikant,9,"Anagram Crypto, Credibly Neutral, Inovia Capital, Jeff Dean, Naval Ravikant, Protocol VC, Prototype, Syndicate One, Vsquared Ventures"
bloom-2,Bloom,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1600000,"Pre-seed (2025-07-24): $1,600,000",289.67,1,Stani Kulechov,8,"APX, Cointelegraph, Delta Blockchain Fund, Faction, Outlier Ventures, Paul Taylor, Plassa Capital, Stani Kulechov"
chronicle-2,Chronicle,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12000000,"Seed Round (2025-03-25): $12,000,000",580.27,1,Stani Kulechov,16,"6MV (6th Man Ventures), Andre Cronje, Brevan Howard, CV VC, Credibly Neutral, Distributed Capital Partners, Fenbushi Capital, Galaxy, Gnosis, Mark Phillips (Aes), Robot Ventures, Rune Christensen, Stani Kulechov, Strobe (Prev. BlockTower Capital), Tioga Capital Partners, UDHC"
fluent,Fluent,,Layer-2,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Funding Round (2025-02-19): $8,000,000",697.64,1,Balaji Srinivasan,21,"Alpen Capital (Prev. Comfy Capital), Anurag Arjun, Balaji Srinivasan, Builder Capital, Charles Lu, Cristian Manea, Jason Yanowitz, Mustafa Al-Bassam, Nomad Capital, Polychain Capital, Primitive Ventures, Public Works, Santiago Roel Santos, Scott Moore, Symbolic Capital, The Rollup Ventures, Will Price, chainyoda.eth, coinflipcanada, dao5, dingaling"
fomo-2,fomo,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2000000,"Angel (2025-02-18): $2,000,000",1036.68,1,Balaji Srinivasan,26,"Aadil Mamujee, Aaron Harris, Alexander Pack, Amy Wu, Balaji Srinivasan, Bryan Pellegrino, Eugene Shen, Evgeny Gaevoy, Henri Stern, Jeff Feng, Jordi Alexander, Joshua Lim, Lucas Bruder, Marc Boiron, Max Power, Paul Kim, Paul Veradittakit, Raj Gokal, Rob Hadick, Roshun Patel, Shiliang Tang, Smokey The Bera, Vijay Chetty, Viktor Bunin, Yu Hu, ZAGABOND"
inversion-capital,Inversion Capital,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,26500000,"Seed Round (2025-09-08): $26,500,000",1009.84,1,Balaji Srinivasan,35,"Alpen Capital (Prev. Comfy Capital), Andrew Steinwold, Balaji Srinivasan, Bodhi Ventures, Borderless Capital, Breed, Bryan Pellegrino, Casey K. Caruso, DCF GOD, Dragonfly Capital, Escape Velocity, Faction, Folius Ventures, Guy Young, HashKey Capital, Jason Badeaux, Jason Yanowitz, Joshua Lim, Lvna Capital, Metalayer Ventures, Mike Dudas, Mike Ippolito, Mirana Ventures, Moonrock Capital, Namik Muduroglu, ParaFi Capital, Portal Ventures, Race Capital, Rebecca Rettig, Serge Kassardjian"
lemon,Lemon,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series B (2025-10-10): $20,000,000",418.08,1,Stani Kulechov,9,"Alumni Ventures, DRW Venture Capital, Endeavor Catalyst, F-Prime Capital, LambdaClass, ParaFi Capital, Persea VC, Stani Kulechov, VanEck"
octane,Octane,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6750000,"Seed Round (2025-04-08): $6,750,000",284.37,1,Balaji Srinivasan,9,"Archetype, Balaji Srinivasan, Circle, Druid Ventures, Duke Capital Partners, Gemini Frontier Fund, Legion Capital, Sina Habibian, Winklevoss Capital"
pluralis-research,Pluralis Research,,Artificial Intelligence (AI),not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7600000,"Seed Round (2025-03-19): $7,600,000",0,1,Balaji Srinivasan,9,"Balaji Srinivasan, Bodhi Ventures, Clement Delangue, CoinFund, Factorio, Greg Osuri, Topology Ventures, Union Square Ventures, Variant"
polymarket,Polymarket,,DeFi,not_launched,NOT_YET_TRADING,0,0,9000000000,0,0,0,0,0,,0,0,0,0,0,0,0,150000000,"Funding Round (2025-01-01): $150,000,000",2657.74,1,Naval Ravikant,13,"1789 Capital, 1confirmation, Blockchain Capital, Coinbase Ventures, Dragonfly Capital, Founders Fund, Gaurav Ahuja, Guy Oseary, Naval Ravikant, Point72 Ventures, Ribbit Capital, SV Angel, Valor Capital Group"
prime-intellect,Prime Intellect,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-02-28): $15,000,000",1276.24,1,Balaji Srinivasan,11,"Andrej Karpathy, Balaji Srinivasan, Brendan McCord, Clem Delangue, Dylan Patel, Emad Mostaque, Founders Fund, Jake Medwell, Menlo Ventures, Sandeep Nailwal, Tri Dao"
trepa,Trepa,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,420000,"Pre-seed (2025-08-23): $420,000",318.11,1,Balaji Srinivasan,8,"Abbas, Balaji Srinivasan, Colosseum, Ignight Capital, Nicolas Weber, Oleg Smagin, TPan, Yi Wen Deng"
zar,ZAR,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Funding Round (2025-04-30): $7,000,000",468.53,1,Balaji Srinivasan,25,"Akshay BD, Anagram Crypto, Anatoly Yakovenko, Andrew Kang, Arnold Lee, Austin Federa, Balaji Srinivasan, Big Brain Holdings, Coinbase Ventures, Dragonfly Capital, Kash Dhanda, Latif Peracha, Matt Sorg, Mirana Ventures, MonkeVentures, Nic Carter, Nom, Pharsalus Capital, Raj Gokal, Rex, Santiago Roel Santos, Solana Ventures, Stepan Simkin, VanEck, a16z crypto CSX"
