slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
double-zero-crypto-coin,DoubleZero,2Z,Infrastructure,launched,CURRENTLY_TRADING,0.11496,398518729,1148000000,0,0,0,3471417500,10000000000,10000000000,65.29,6528799999,34.71,1.01,0.7375,0,0,28000000,"Private Token Sale (2025-03-06): $28,000,000",1178.71,1,Reciprocal Ventures,9,"Borderless Capital, DBA, Dragonfly Capital, Foundation Capital, Frictionless, Multicoin Capital, Reciprocal Ventures, Superscrypt, Ubik Capital"
soon,SOON,SOON,Blockchain Service,launched,CURRENTLY_TRADING,0.3507,176250000,352500000,0,0,0,500000000,1000000000,,60.87,608664039,39.13,0.5527,0.5034,0,0,5000000,"Strategic Round (2025-06-11): $5,000,000",659.72,1,Jump Crypto,6,"Amber Group, Chris Hermida, Jump Crypto, Mark Hull, Nana Murugesan, Tori Cohen"
momentum-3,Momentum,MMT,DEX,launched,CURRENTLY_TRADING,0.2291,46717442.55,228900000,0,0,0,204095424,1000000000,1000000000,0,0,0,4.185,0.1776,0,0,5000000,"Seed Round (2025-03-31): $5,000,000",687.12,1,Jump Crypto,12,"Adeniyi Abiodun, Amber Group, Aptos, Arcanum Capital, Circle, Coinbase Ventures, Dewhales, Jump Crypto, MonkeVentures, Selini Capital, Varys Capital, WAGMI Ventures"
kgen,KGeN,KGEN,Gaming,launched,CURRENTLY_TRADING,0.18368,36179223.37,182100000,0,0,0,198677778,1000000000,1000000000,0,0,0,0.681,0.1343,0,0,13500000,"Strategic Round (2025-09-30): $13,500,000",507.15,1,Jump Crypto,3,"Accel, Jump Crypto, Prosus Ventures"
cooking-city,Cooking.City,,Memepad,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Funding Round (2025-05-30): $7,000,000",11.576,1,Jump Crypto,5,"BitScale Capital, CMT Digital, Everest Ventures, Jump Crypto, Mirana Ventures"
forward-industries,Forward Industries,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1650000000,"PIPE (2025-09-08): $1,650,000,000",0,1,Jump Crypto,3,"Galaxy, Jump Crypto, Multicoin Capital"
nirvana-labs,Nirvana Labs,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6000000,"Extended Seed Round (2025-05-13): $6,000,000",256.1,1,Jump Crypto,5,"Castle Island Ventures, Crucible Capital, Hash3, Jump Crypto, RW3 Ventures"
raiku,Raiku,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11250000,"Seed Round (2025-09-23): $11,250,000",417.21,1,Jump Crypto,4,"Faction, HashKey Capital, Jump Crypto, Pantera Capital"
securitize,Securitize,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1174.95,1,Jump Crypto,1,Jump Crypto
truex,TrueX,PYUSD,CEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11000000,"Series A (2025-05-20): $11,000,000",0,1,Reciprocal Ventures,7,"Accomplice, Paxos, PayPal Ventures, RRE Ventures, Reciprocal Ventures, Solana Foundation, Variant"
warlock,Warlock,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-03-27): $8,000,000",185.3,1,Reciprocal Ventures,8,"Ambush Capital, Dean Eigenmann, Greenfield Capital, Ivangbi, Polychain Capital, Reciprocal Ventures, Symbolic Capital, TRGC"
zerohash,zerohash,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,104000000,"Extended Series D (2025-09-23): $104,000,000",572.99,1,Jump Crypto,8,"Apollo Global Management, Interactive Brokers, Jump Crypto, Liberty City Ventures, Morgan Stanley Tactical Value, Nyca Partners, SoFi, tastytrade"
