slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
double-zero-crypto-coin,DoubleZero,2Z,Infrastructure,launched,CURRENTLY_TRADING,0.11475,398518729,1148000000,0,0,0,3471417500,10000000000,10000000000,65.29,6528799999,34.71,1.01,0.7375,0,0,56000000,"Private Token Sale (2025-03-06): $28,000,000; Private Token Sale (2025-03-06): $28,000,000",1178.71,2,"Reciprocal Ventures, Ubik Capital",9,"Borderless Capital, DBA, Dragonfly Capital, Foundation Capital, Frictionless, Multicoin Capital, Reciprocal Ventures, Superscrypt, Ubik Capital"
kaia,Kaia,KAIA,Blockchain,launched,CURRENTLY_TRADING,0.0555,327620539.33,327620549.9,0,0,0,5856641747.11,5856641936.04,,0,0,0,4.355,0.05416,1,0.05594,0,,876.41,1,IDG Capital,12,"1kx, Blockchain Capital, Caladan (Alphalab), Comma3 Ventures, Galaxy, IDG Capital, Lingfeng Capital, MEXC Global (Privcode Capital), Mirana Ventures, SNZ Holding, The Spartan Group, Waterdrip Capital"
layerzero,LayerZero,ZRO,Blockchain Service,launched,CURRENTLY_TRADING,1.243,251867881.96,1243000000,0,0,0,202629028.12,1000000000,1000000000,44.42,444239999,42.28,7.53,1.083,0,0,55000000,"Private Token Sale (2025-04-17): $55,000,000",2269.88,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
eigenlayer,EigenCloud (prev. EigenLayer),EIGEN,Liquid Staking Protocols,launched,CURRENTLY_TRADING,0.39,192495854,692455119.19,0,0,0,494593663.91,1779175537.5,,48.4,810044987,22.6,5.65,0.6683,0,0,70000000,"OTC (2025-06-17): $70,000,000",0,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
walrus-protocol,Walrus,WAL,Storage,launched,CURRENTLY_TRADING,0.1195,184398375,597000000,0,0,0,1544375000,5000000000,5000000000,69.3,3465133061,24.7,0.7622,0.1158,0,0,140000000,"Private Token Sale (2025-03-20): $140,000,000",843.67,1,Andreessen Horowitz (a16z),10,"Andreessen Horowitz (a16z), Comma3 Ventures, Electric Capital, Franklin Templeton, Karatage, Lvna Capital, Protagonist, RW3 Ventures, Raptor Group, Standard Crypto"
jito-network,Jito,JTO,Liquid Staking Protocols,launched,CURRENTLY_TRADING,0.379,157557460.46,376777045.78,0,0,0,416598256.1,996237561.55,,25.02,250246948,50.68,14.14,0.3082,0,0,50000000,"Strategic Round (2025-10-16): $50,000,000",1262.23,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
pieverse,Pieverse,PIEVERSE,Blockchain Service,launched,CURRENTLY_TRADING,0.45273,79292500,453100000,0,0,0,175000000,1000000000,1000000000,0,0,0,0.3718,0.1164,0,0,7000000,"Strategic Round (2025-10-24): $7,000,000",382.65,1,Signum Capital,8,"10K Ventures, Animoca Brands, Morningstar Ventures, Serafund, Signum Capital, Sonic SVM, UOB Venture Management, Undefined Labs"
chainopera-ai,ChainOpera AI,COAI,Artificial Intelligence (AI),launched,CURRENTLY_TRADING,0.4018,78670298.51,400400000,0,0,0,196479267,1000000000,1000000000,77.92,779222812,22.18,0.319,0.3018,0,0,17000000,"Seed Round (2024-12-26): $17,000,000",241.34,1,IDG Capital,18,"ABCDE Capital, Acequia Capital, Aimtop Ventures, Amber Group, Camford Capital, David Tse, Finality Capital Partners, IDG Capital, LDV Partners, Modular Capital, Plug and Play, PrimeSet, Road Capital, Silicon Valley Future Capital, Sparkle Ventures, Sreeram Kannan, USC Marshall School, Wisemont Capital"
sign-2,Sign,SIGN,Infrastructure,launched,CURRENTLY_TRADING,0.03716,44640000,372000000,0,0,0,1200000000,10000000000,10000000000,82.74,8274079999,17.259,0.0797,0.06153,0,0,25500000,"Strategic Round (2025-10-21): $25,500,000",438.7,1,IDG Capital,2,"IDG Capital, YZi Labs (prev Binance Labs)"
bob-build-on-bitcoin,BOB (Build on Bitcoin),BOB,Layer-2,launched,CURRENTLY_TRADING,0.01152,25596600,115300000,0,0,0,2220000000,10000000000,10000000000,0,0,0,0.02654,0.01247,0,0,9500000,"Strategic Round (2025-08-07): $9,500,000",996.55,1,RockawayX,14,"Amber Group, Asymmetric, Bankless, CMS Holdings, Castle Island Ventures, Daedalus, Hypersphere Ventures, IOSG Ventures, Ledger Cathay Capital, Nathan McCauley, RockawayX, Sats Ventures, Sigil Fund, Zee Prime Capital"
bitlight-labs,Bitlight Labs,LIGHT,Infrastructure,launched,CURRENTLY_TRADING,0.5754,25093603.28,244776000,0,0,0,43056972,420000000,420000000,35.36,148511999,4,2.924,0.5665,0,0,19200000,"pre-Series A (2025-09-19): $9,600,000; pre-Series A (2025-09-19): $9,600,000",241.48,2,"Signum Capital, Fundamental Labs",14,"Amber Group, ArkStream Capital, Fundamental Labs, Gate Ventures, HV Capital, Outliers Fund, Q42, Side Door Ventures, Signum Capital, Skynet Trading, Stakez Capital, SuDo Research, Taisu Ventures, UOB Venture Management"
towns,Towns,TOWNS,Social,launched,CURRENTLY_TRADING,0.00592,13683894.45,61295585.86,0,0,0,2307959934,10338267138,,0,0,0,0.08007,0.06117,0,0,10000000,"Series B (2025-04-10): $10,000,000",0,1,Andreessen Horowitz (a16z),3,"Andreessen Horowitz (a16z), Benchmark, Coinbase Ventures"
lit-protocol,Lit Protocol,LITKEY,Infrastructure,launched,CURRENTLY_TRADING,0.01697,3762000,17100000,0,0,0,220000000,1000000000,1000000000,0,0,0,0.1504,0.01572,0,0,1370000,"Funding Round (2025-10-20): $1,370,000",842.99,1,Collab+Currency,5,"Collab+Currency, Protocol Labs, RRE Ventures, Sfermion, Village Global"
almanak,Almanak,ALMANAK,DeFi,launched,CURRENTLY_TRADING,0.008974,2406028.8,8951000,0,0,0,268800000,1000000000,1000000000,0,0,0,0.1756,0.008186,0,0,8450000,"Funding Round (2025-08-15): $8,450,000",744.95,1,RockawayX,9,"AppWorks, Bankless, Delphi Digital (Delphi Labs), HashKey Capital, Matrix Partners, NEAR Foundation, RockawayX, Shima Capital, Sparkle Ventures"
