coin,unlock_date,allocation,is_tge,tokens_amount,tokens_percent,usd_amount,price_minus_5d,price_minus_3d,price_minus_1d,price_on_unlock,price_plus_1d,price_plus_3d,price_plus_5d,change_5d_before,change_5d_after,change_total_10d,market_cap,current_price
celestia,2023-10-30,R&D & Ecosystem,True,67000000,6.7,30712800,,,,,,2.5331,2.4221,,,,,0.4586
celestia,2023-10-30,Public Allocation,True,200000000,20,91680000,,,,,,2.5331,2.4221,,,,,0.4586
celestia,2024-10-30,Initial Core Contributors,False,58080000,5.808,26623872,6.14,5.414,5.073,5.228,4.7727,4.5746,4.5214,-14.85342019543974,-13.515684774292271,-26.36156351791531,,0.4586
celestia,2024-10-30,R&D & Ecosystem,False,187600,0.01876,85995.84,6.14,5.414,5.073,5.228,4.7727,4.5746,4.5214,-14.85342019543974,-13.515684774292271,-26.36156351791531,,0.4586
celestia,2024-10-30,Series A&B Round,False,65010000,6.501,29800584,6.14,5.414,5.073,5.228,4.7727,4.5746,4.5214,-14.85342019543974,-13.515684774292271,-26.36156351791531,,0.4586
celestia,2024-10-30,Seed Round,False,52470000,5.247,24052248,6.14,5.414,5.073,5.228,4.7727,4.5746,4.5214,-14.85342019543974,-13.515684774292271,-26.36156351791531,,0.4586
celestia,2024-10-31,Initial Core Contributors,False,161534.25,0.016153,74047.3,5.257,5.153,5.228,4.7727,4.8595,4.7105,4.2775,-9.212478599961942,-10.375678337209557,-18.63229979075518,,0.4586
celestia,2024-10-31,R&D & Ecosystem,False,183390.32,0.018339,84066.12,5.257,5.153,5.228,4.7727,4.8595,4.7105,4.2775,-9.212478599961942,-10.375678337209557,-18.63229979075518,,0.4586
celestia,2024-10-31,Series A&B Round,False,361616.44,0.036162,165764.98,5.257,5.153,5.228,4.7727,4.8595,4.7105,4.2775,-9.212478599961942,-10.375678337209557,-18.63229979075518,,0.4586
celestia,2024-10-31,Seed Round,False,291863.01,0.029186,133790.01,5.257,5.153,5.228,4.7727,4.8595,4.7105,4.2775,-9.212478599961942,-10.375678337209557,-18.63229979075518,,0.4586
celestia,2024-11-01,Initial Core Contributors,False,161534.25,0.016153,74047.3,5.414,5.073,4.7727,4.8595,4.5746,4.5214,4.2389,-10.241965275212413,-12.770861199711897,-21.704839305504244,,0.4586
celestia,2024-11-01,R&D & Ecosystem,False,183390.32,0.018339,84066.12,5.414,5.073,4.7727,4.8595,4.5746,4.5214,4.2389,-10.241965275212413,-12.770861199711897,-21.704839305504244,,0.4586
celestia,2024-11-01,Series A&B Round,False,361616.44,0.036162,165764.98,5.414,5.073,4.7727,4.8595,4.5746,4.5214,4.2389,-10.241965275212413,-12.770861199711897,-21.704839305504244,,0.4586
celestia,2024-11-01,Seed Round,False,291863.01,0.029186,133790.01,5.414,5.073,4.7727,4.8595,4.5746,4.5214,4.2389,-10.241965275212413,-12.770861199711897,-21.704839305504244,,0.4586
celestia,2024-11-02,Initial Core Contributors,False,161534.25,0.016153,74047.3,5.153,5.228,4.8595,4.5746,4.7105,4.2775,5.133,-11.224529400349299,12.206531718620202,-0.38812342324858484,,0.4586
celestia,2024-11-02,R&D & Ecosystem,False,183390.32,0.018339,84066.12,5.153,5.228,4.8595,4.5746,4.7105,4.2775,5.133,-11.224529400349299,12.206531718620202,-0.38812342324858484,,0.4586
celestia,2024-11-02,Series A&B Round,False,361616.44,0.036162,165764.98,5.153,5.228,4.8595,4.5746,4.7105,4.2775,5.133,-11.224529400349299,12.206531718620202,-0.38812342324858484,,0.4586
celestia,2024-11-02,Seed Round,False,291863.01,0.029186,133790.01,5.153,5.228,4.8595,4.5746,4.7105,4.2775,5.133,-11.224529400349299,12.206531718620202,-0.38812342324858484,,0.4586
celestia,2024-11-03,Initial Core Contributors,False,161534.25,0.016153,74047.3,5.073,4.7727,4.5746,4.7105,4.5214,4.2389,5.144,-7.145673171693291,9.202844708629668,1.3995663315592297,,0.4586
celestia,2024-11-03,R&D & Ecosystem,False,183390.32,0.018339,84066.12,5.073,4.7727,4.5746,4.7105,4.5214,4.2389,5.144,-7.145673171693291,9.202844708629668,1.3995663315592297,,0.4586
celestia,2024-11-03,Series A&B Round,False,361616.44,0.036162,165764.98,5.073,4.7727,4.5746,4.7105,4.5214,4.2389,5.144,-7.145673171693291,9.202844708629668,1.3995663315592297,,0.4586
celestia,2024-11-03,Seed Round,False,291863.01,0.029186,133790.01,5.073,4.7727,4.5746,4.7105,4.5214,4.2389,5.144,-7.145673171693291,9.202844708629668,1.3995663315592297,,0.4586
celestia,2024-11-04,Initial Core Contributors,False,161534.25,0.016153,74047.3,5.228,4.8595,4.7105,4.5214,4.2775,5.133,,-13.515684774292271,,,,0.4586
celestia,2024-11-04,R&D & Ecosystem,False,183390.32,0.018339,84066.12,5.228,4.8595,4.7105,4.5214,4.2775,5.133,,-13.515684774292271,,,,0.4586
celestia,2024-11-04,Series A&B Round,False,361616.44,0.036162,165764.98,5.228,4.8595,4.7105,4.5214,4.2775,5.133,,-13.515684774292271,,,,0.4586
celestia,2024-11-04,Seed Round,False,291863.01,0.029186,133790.01,5.228,4.8595,4.7105,4.5214,4.2775,5.133,,-13.515684774292271,,,,0.4586
celestia,2024-11-05,Initial Core Contributors,False,161534.25,0.016153,74047.3,4.7727,4.5746,4.5214,4.2775,4.2389,5.144,5.483,-10.375678337209557,28.182349503214493,14.882561233683223,,0.4586
celestia,2024-11-05,R&D & Ecosystem,False,183390.32,0.018339,84066.12,4.7727,4.5746,4.5214,4.2775,4.2389,5.144,5.483,-10.375678337209557,28.182349503214493,14.882561233683223,,0.4586
celestia,2024-11-05,Series A&B Round,False,361616.44,0.036162,165764.98,4.7727,4.5746,4.5214,4.2775,4.2389,5.144,5.483,-10.375678337209557,28.182349503214493,14.882561233683223,,0.4586
celestia,2024-11-05,Seed Round,False,291863.01,0.029186,133790.01,4.7727,4.5746,4.5214,4.2775,4.2389,5.144,5.483,-10.375678337209557,28.182349503214493,14.882561233683223,,0.4586
celestia,2024-11-06,Initial Core Contributors,False,161534.25,0.016153,74047.3,4.8595,4.7105,4.2775,4.2389,5.133,,5.569,-12.770861199711897,31.378423647644432,14.60026751723429,,0.4586
celestia,2024-11-06,R&D & Ecosystem,False,183390.32,0.018339,84066.12,4.8595,4.7105,4.2775,4.2389,5.133,,5.569,-12.770861199711897,31.378423647644432,14.60026751723429,,0.4586
celestia,2024-11-06,Series A&B Round,False,361616.44,0.036162,165764.98,4.8595,4.7105,4.2775,4.2389,5.133,,5.569,-12.770861199711897,31.378423647644432,14.60026751723429,,0.4586
celestia,2024-11-06,Seed Round,False,291863.01,0.029186,133790.01,4.8595,4.7105,4.2775,4.2389,5.133,,5.569,-12.770861199711897,31.378423647644432,14.60026751723429,,0.4586
celestia,2024-11-07,Initial Core Contributors,False,161534.25,0.016153,74047.3,4.5746,4.5214,4.2389,5.133,5.144,5.483,5.772,12.206531718620202,12.448860315604913,26.174966117256155,,0.4586
