coin,coin_slug,unlock_date,allocation,allocation_id,is_tge,tge_date,tokens_amount,pct_of_total_supply,pct_of_market_cap,pct_of_fdv,usd_value_at_unlock,current_price,current_market_cap,current_circulating,current_total_supply,current_fdv,price_d14_before,price_d10_before,price_d7_before,price_d5_before,price_d3_before,price_on_unlock,price_d3_after,price_d5_after,price_d7_after,price_d10_after,price_d14_after,btc_price_on_unlock,change_7d_before_pct,change_7d_after_pct,change_14d_total_pct
TIA,celestia,2023-10-30,R&D & Ecosystem,14932,True,2023-10-30,67000000,6.7,7.775,0.0668,34786400,0.5195,448560543.82,861787788.31,1000000000,520500000,,,,,,,2.5331,2.4221,2.3072,2.3647,4.67,34566.13,,,
TIA,celestia,2023-10-30,Public Allocation,14931,True,2023-10-30,200000000,20,23.21,0.1995,103840000,0.5195,448560543.82,861787788.31,1000000000,520500000,,,,,,,2.5331,2.4221,2.3072,2.3647,4.67,34566.13,,,
TIA,celestia,2024-10-30,Initial Core Contributors,14933,False,2023-10-30,58080000,5.808,6.739,0.0579,30155136,0.5195,448560543.82,861787788.31,1000000000,520500000,6.033,5.898,5.794,6.14,5.414,5.228,4.5746,4.5214,4.2389,,5.508,72478,-9.768726268553674,-18.919280795715373,-8.702138239681755
TIA,celestia,2024-10-30,R&D & Ecosystem,14932,False,2023-10-30,187600,0.01876,0.021769,0.0002,97401.92,0.5195,448560543.82,861787788.31,1000000000,520500000,6.033,5.898,5.794,6.14,5.414,5.228,4.5746,4.5214,4.2389,,5.508,72478,-9.768726268553674,-18.919280795715373,-8.702138239681755
TIA,celestia,2024-10-30,Series A&B Round,11576,False,2023-10-30,65010000,6.501,7.544,0.0648,33753192,0.5195,448560543.82,861787788.31,1000000000,520500000,6.033,5.898,5.794,6.14,5.414,5.228,4.5746,4.5214,4.2389,,5.508,72478,-9.768726268553674,-18.919280795715373,-8.702138239681755
TIA,celestia,2024-10-30,Seed Round,11575,False,2023-10-30,52470000,5.247,6.089,0.0523,27242424,0.5195,448560543.82,861787788.31,1000000000,520500000,6.033,5.898,5.794,6.14,5.414,5.228,4.5746,4.5214,4.2389,,5.508,72478,-9.768726268553674,-18.919280795715373,-8.702138239681755
TIA,celestia,2024-10-31,Initial Core Contributors,14933,False,2023-10-30,161534.25,0.016153,0.018744,0.0002,83868.58,0.5195,448560543.82,861787788.31,1000000000,520500000,5.908,6.145,5.959,5.257,5.153,4.7727,4.7105,4.2775,5.133,5.483,5.031,72389,-19.907702634670237,7.5491859953485365,-14.844278943805019
TIA,celestia,2024-10-31,R&D & Ecosystem,14932,False,2023-10-30,183390.32,0.018339,0.02128,0.0002,95216.25,0.5195,448560543.82,861787788.31,1000000000,520500000,5.908,6.145,5.959,5.257,5.153,4.7727,4.7105,4.2775,5.133,5.483,5.031,72389,-19.907702634670237,7.5491859953485365,-14.844278943805019
TIA,celestia,2024-10-31,Series A&B Round,11576,False,2023-10-30,361616.44,0.036162,0.041961,0.0004,187751.25,0.5195,448560543.82,861787788.31,1000000000,520500000,5.908,6.145,5.959,5.257,5.153,4.7727,4.7105,4.2775,5.133,5.483,5.031,72389,-19.907702634670237,7.5491859953485365,-14.844278943805019
TIA,celestia,2024-10-31,Seed Round,11575,False,2023-10-30,291863.01,0.029186,0.033867,0.0003,151535.28,0.5195,448560543.82,861787788.31,1000000000,520500000,5.908,6.145,5.959,5.257,5.153,4.7727,4.7105,4.2775,5.133,5.483,5.031,72389,-19.907702634670237,7.5491859953485365,-14.844278943805019
